Name,Location,Height,Weight,Ranking,NationalRank,PositionRank,StateRank,State,Position,Year,School,Type,count
Sam Cunliffe,"Rainier Beach (Seattle, WA)",6-7,180,96,41,7,1,WA,SF,2016,arizona-state,Commit,1
Jethro Tshisumpa,"Mountain Mission School (Grundy, VA)",6-9,250,89,126,17,9,VA,C,2016,arizona-state,Commit,1
Romello White,"Wheeler (Marietta, GA)",6-8,215,92,70,18,4,GA,PF,2016,arizona-state,Commit,1
Kimani Lawrence,"New Hampton School (New Hampton, NH)",6-7,200,95,61,16,2,NH,SF,2017,arizona-state,Commit,1
Remy Martin,"Sierra Canyon (Chatsworth, CA)",5-11,170,89,142,25,13,CA,PG,2017,arizona-state,Commit,2
De'Quon Lake,"Iowa Western C.C. (Council Bluffs, IA)",6-10,0,89,14,2,1,IA,C,2017,arizona-state,Commit,2
Taeshon Cherry,"Foothills Christian (El Cajon, CA)",6-8,210,98,29,7,3,CA,SF,2018,arizona-state,Commit,1
Luguentz Dort,"Athlete Institute Basketball Academy (Toronto, ON)",6-4,200,97,33,5,1,ON,SG,2018,arizona-state,Commit,1
Elias Valtonen,"Helsinki Basketball Academy (Finland, FINL)",6-6,195,95,62,12,1,FINL,SG,2018,arizona-state,Commit,1
Uros Plavsic,"Hamilton Heights Christian Academy (Chattanooga, TN)",7-1,240,91,120,16,2,TN,C,2018,arizona-state,Commit,1
Jaelen House,"Shadow Mountain (Phoenix, AZ)",6-2,160,91,111,12,4,AZ,PG,2019,arizona-state,Commit,1
Khalid Thomas,"College of Southern Idaho (Rogerson, ID)",6-9,210,90,2,1,1,ID,PF,2019,arizona-state,Commit,1
Andre Allen,"Arizona Western College (Yuma, AZ)",6-9,210,89,5,3,1,AZ,PF,2019,arizona-state,Commit,1
Jalen Graham,"Mountain Pointe (Phoenix, AZ)",6-9,205,88,229,39,7,AZ,C,2019,arizona-state,Commit,2
Alonzo Verge Jr.,"Moberly Area Community College (Kirksville, MO)",6-3,160,88,8,1,1,MO,CG,2019,arizona-state,Commit,2
Caleb Christopher,"Hillcrest Prep (Phoenix, AZ)",6-0,180,87,NA,43,17,AZ,CG,2019,arizona-state,Commit,1
Josh Christopher,"Mayfair (Lakewood, CA)",6-5,215,99,8,2,5,CA,SG,2020,arizona-state,Commit,1
Marcus Bagley,"Sheldon (Sacramento, CA)",6-7,220,97,31,4,6,CA,SF,2020,arizona-state,Commit,1
Pavlo Dziuba,"Ukraine (Ukraine, UKRA)",6-8,235,92,117,24,1,UKRA,PF,2020,arizona-state,Commit,1
Chris Osten,"Lee College (Baytown, TX)",6-9,200,79,22,3,4,TX,C,2020,arizona-state,Commit,1
Enoch Boakye,"George Harris Prep (Mississauga, ON)",6-10,240,98,29,4,1,ON,C,2021,arizona-state,Commit,1
William Felton,"Hargrave Military Academy (HS) (Chatham, VA)",6-8,220,89,172,31,7,VA,PF,2021,arizona-state,Commit,2
Demari Williams,"Dream City Christian (Glendale, AZ)",6-6,210,89,183,38,10,AZ,PG,2021,arizona-state,Commit,2
Justin Rochelin,"Heritage Christian (Northridge, CA)",6-4,175,88,216,45,20,CA,SF,2021,arizona-state,Commit,1
Jamiya Neal,"Hillcrest Prep (Phoenix, AZ)",6-6,185,87,246,49,12,AZ,SF,2021,arizona-state,Commit,1
Austin Nunez,"Wagner HS (San Antonio, TX)",6-2,170,94,71,14,7,TX,PG,2022,arizona-state,Commit,1
Duke Brennan,"Hillcrest Prep (Phoenix, AZ)",6-10,235,87,222,34,16,AZ,C,2022,arizona-state,Commit,2
Frankie Collins,NA,6-1,180,89,NA,NA,NA,NA,PG,2022,arizona-state,Transfer,3
Warren Washington,NA,6-11,210,87,NA,NA,NA,NA,PF,2022,arizona-state,Transfer,2
Desmond Cambridge,NA,6-4,175,89,NA,NA,NA,NA,SG,2022,arizona-state,Transfer,3
Devan Cambridge,NA,6-6,190,89,NA,NA,NA,NA,SF,2022,arizona-state,Transfer,3
Akil Watson,"Roselle Catholic (Roselle, NJ)",6-8,205,90,137,30,6,NJ,PF,2023,arizona-state,Commit,2
Braelon Green,"SoCal Academy (Castaic, CA)",6-3,175,88,191,30,26,CA,CG,2023,arizona-state,Commit,2
Brycen Long,NA,6-2,181,86,NA,NA,NA,NA,PG,2023,arizona-state,Transfer,1
Bryant Selebangue,NA,6-8,227,88,NA,NA,NA,NA,PF,2023,arizona-state,Transfer,2
Shawn Phillips,NA,6-10,250,89,NA,NA,NA,NA,C,2023,arizona-state,Transfer,2
Zane Meeks,NA,6-9,220,87,NA,NA,NA,NA,PF,2023,arizona-state,Transfer,1
Adam Miller,NA,6-3,190,90,NA,NA,NA,NA,PG,2023,arizona-state,Transfer,2
Kamari Lands,NA,6-8,195,89,NA,NA,NA,NA,SF,2023,arizona-state,Transfer,2
Jayden Quaintance,"Word Of God Christian Academy (Raleigh, NC)",6-9,230,98,9,2,1,NC,C,2024,arizona-state,Commit,1
Joson Sanon,"Vermont Academy (Saxtons River, VT)",6-5,188,97,24,5,1,VT,SG,2024,arizona-state,Commit,1
Amier Ali,"Canyon International Academy (Glendale, AZ)",6-8,175,91,99,21,5,AZ,SF,2024,arizona-state,Commit,2
Trevor Best,"Word Of God Christian Academy (Raleigh, NC)",6-2,180,86,NA,41,15,NC,CG,2024,arizona-state,Commit,1
Brandon Gardner,NA,6-8,210,87,NA,NA,NA,NA,PF,2024,arizona-state,Transfer,1
BJ Freeman,NA,6-6,180,91,NA,NA,NA,NA,PF,2024,arizona-state,Transfer,2
Alston Mason,NA,6-1,175,90,NA,NA,NA,NA,PG,2024,arizona-state,Transfer,1
Basheer Jihad,NA,6-9,239,89,NA,NA,NA,NA,C,2024,arizona-state,Transfer,2
Austin Nunez,NA,6-2,170,89,NA,NA,NA,NA,PG,2024,arizona-state,Transfer,2
Marcus Jackson,"Word Of God Christian Academy (Raleigh, NC)",6-8,230,91,94,11,5,NC,PF,2025,arizona-state,Commit,2
Kash Polk,"Argyle (Argyle, TX)",6-8,195,84,NA,70,35,TX,PF,2025,arizona-state,Commit,1
Anthony Johnson,NA,6-2,175,86,NA,NA,NA,NA,SG,2025,arizona-state,Transfer,1
Bryce Ford,NA,6-3,190,83,NA,NA,NA,NA,SG,2025,arizona-state,Transfer,2
Santiago Trouet,NA,6-10,218,83,NA,NA,NA,NA,PF,2025,arizona-state,Transfer,2
Adante Holiman,NA,6-0,175,87,NA,NA,NA,NA,PG,2025,arizona-state,Transfer,1
Allen Mukeba,NA,6-6,247,89,NA,NA,NA,NA,SF,2025,arizona-state,Transfer,1
Marcus Adams Jr.,NA,6-8,200,91,NA,NA,NA,NA,SF,2025,arizona-state,Transfer,2
Maurice Odum,NA,6-1,160,90,NA,NA,NA,NA,PG,2025,arizona-state,Transfer,1
Lauri Markkanen,"International (Paterson, NJ)",6-11,225,98,16,5,1,NJ,PF,2016,arizona,Commit,3
Kobi Simmons,"St. Francis (Alpharetta, GA)",6-5,170,98,29,4,1,GA,CG,2016,arizona,Commit,3
Rawle Alkins,"Word Of God Christian Academy (Raleigh, NC)",6-5,210,98,30,4,1,NC,SG,2016,arizona,Commit,3
Keanu Pinder,"Hutchinson C.C. (Hutchinson, KS)",6-8,195,83,30,7,3,KS,PF,2016,arizona,Commit,1
Deandre Ayton,"Hillcrest Prep (Phoenix, AZ)",7-0,250,100,5,3,2,AZ,C,2017,arizona,Commit,1
Brandon Randolph,"Westtown School (Norristown, PA)",6-6,183,98,27,5,3,PA,SG,2017,arizona,Commit,2
Ira Lee,"Prolific Prep (Fort Lauderdale, FL)",6-8,210,97,41,4,7,FL,C,2017,arizona,Commit,1
Alex Barcello,"Corona del Sol (Tempe, AZ)",6-2,165,90,123,21,2,AZ,PG,2017,arizona,Commit,1
Emmanuel Akot,"Wasatch Academy (Mount Pleasant, UT)",6-7,190,98,28,7,1,UT,SF,2017,arizona,Commit,2
Devonaire Doutrive,"Birmingham (Van Nuys, CA)",6-5,175,94,67,15,7,CA,SG,2018,arizona,Commit,1
Omar Thielemans,"Gistel Oostende (Belgium, BELG)",6-7,200,90,146,36,1,BELG,SF,2018,arizona,Commit,1
Brandon Williams,"Crespi (Encino, CA)",6-2,185,98,25,7,2,CA,PG,2018,arizona,Commit,1
Nico Mannion,"Pinnacle (Phoenix, AZ)",6-3,180,99,8,1,1,AZ,CG,2019,arizona,Commit,1
Josh Green,"IMG Academy (Bradenton, FL)",6-6,190,98,18,6,4,FL,SG,2019,arizona,Commit,1
Zeke Nnaji,"Hopkins  (Hopkins, MN)",6-11,215,97,40,8,2,MN,PF,2019,arizona,Commit,1
Christian Koloko,"Sierra Canyon (Chatsworth, CA)",7-0,195,92,96,21,8,CA,C,2019,arizona,Commit,1
Dalen Terry,"Hillcrest Prep (Phoenix, AZ)",6-6,190,97,46,7,2,AZ,SF,2020,arizona,Commit,1
Bennedict Mathurin,"NBA Academy Latin America (Mexico, MEXI)",6-6,190,96,53,10,1,MEXI,SF,2020,arizona,Commit,2
Azuolas Tubelis,"Lithuania (Lithuania, LITH)",6-9,240,96,58,10,1,LITH,PF,2020,arizona,Commit,2
Kerr Kriisa,"Estonia (Estonia, ESTO)",6-2,170,95,69,12,1,ESTO,PG,2020,arizona,Commit,1
Daniel Batcho,"France (France, FRAN)",6-10,220,92,118,20,1,FRAN,PF,2020,arizona,Commit,1
Tibet G̦rener,"Orange Lutheran (Orange, CA)",6-8,195,90,142,30,15,CA,SF,2020,arizona,Commit,1
