"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Sagaba Konate","Kennedy Catholic (Hermitage, PA)","6-8",220,89,186,45,6,"PA","PF",2016,"west-virginia","Commit",2
"Maciej Bender","Mountain Mission School (Grundy, VA)","6-10",235,89,189,46,14,"VA","PF",2016,"west-virginia","Commit",2
"Chase Harler","Central Catholic (Wheeling, WV)","6-3",195,86,NA,54,3,"WV","SG",2016,"west-virginia","Commit",1
"Brandon Knapper","Hargrave Military Academy (HS) (Chatham, VA)","6-0",160,89,137,23,9,"VA","PG",2017,"west-virginia","Commit",2
"D'Angelo Hunter","Navarro College (Corsicana, TX)","6-7",0,89,13,4,4,"TX","SF",2017,"west-virginia","Commit",2
"Teddy Allen","Boys Town (Boys Town, NE)","6-5",215,88,195,42,1,"NE","SG",2017,"west-virginia","Commit",1
"Wesley Harris","Lawson State C.C. (Birmingham, AL)","6-8",200,87,55,18,1,"AL","SF",2017,"west-virginia","Commit",1
"Derek Culver","Brewster Academy (Wolfeboro, NH)","6-8",205,92,96,13,2,"NH","PF",2018,"west-virginia","Commit",1
"Jordan McCabe","Kaukauna (Kaukauna, WI)","5-10",155,89,174,29,3,"WI","PG",2018,"west-virginia","Commit",3
"Trey Doomes","University School (Fort Lauderdale, FL)","6-3",185,89,178,37,16,"FL","SG",2018,"west-virginia","Commit",3
"Andrew Gordon","Northwest Florida State College (Niceville, FL)","6-10",235,89,7,1,2,"FL","PF",2018,"west-virginia","Commit",3
"Emmitt Matthews Jr.","Wilson (Tacoma, WA)","6-6",160,88,NA,54,4,"WA","SF",2018,"west-virginia","Commit",2
"Jermaine Haley","Odessa C.C. (Odessa, TX)","6-7",185,88,11,2,6,"TX","SG",2018,"west-virginia","Commit",2
"Oscar Tshiebwe","Kennedy Catholic (Hermitage, PA)","6-9",250,98,23,5,1,"PA","PF",2019,"west-virginia","Commit",1
"Jalen Bridges","Fairmont (Fairmont, WV)","6-7",180,94,84,20,1,"WV","SF",2019,"west-virginia","Commit",1
"Miles McBride","Archbishop Moeller (Cincinnati, OH)","6-1",185,89,216,29,6,"OH","PG",2019,"west-virginia","Commit",1
"Sean McNeil","Sinclair Community College (Dayton, OH)","6-4",190,87,19,7,1,"OH","SG",2019,"west-virginia","Commit",2
"Taz Sherman","Collin County (Plano, TX)","6-4",185,87,26,12,6,"TX","SG",2019,"west-virginia","Commit",2
"Isaiah Cottrell","Huntington Expression Prep (Huntington, WV)","6-9",215,95,80,13,2,"WV","PF",2020,"west-virginia","Commit",1
"Kedrian Johnson","Temple College (Temple, TX)","6-4",190,88,17,4,3,"TX","PG",2020,"west-virginia","Commit",1
"Taj Thweatt","Wildwood Catholic (Wildwood, NJ)","6-6",195,87,NA,78,16,"NJ","SF",2020,"west-virginia","Commit",1
"Jamel King","Bella Vista Prep (Scottsdale, AZ)","6-7",180,89,161,33,8,"AZ","SF",2021,"west-virginia","Commit",2
"Seth Wilson","Lorain (Lorain, OH)","6-1",185,89,186,21,4,"OH","CG",2021,"west-virginia","Commit",2
"Kobe Johnson","McKinley (Canton, OH)","6-3",190,88,211,31,6,"OH","PG",2021,"west-virginia","Commit",2
"James Okonkwo","Beckley Prep Academy (Mount Hope, WV)","6-8",210,88,213,38,1,"WV","PF",2021,"west-virginia","Commit",2
"Josiah Harris","Richmond Heights (Cleveland, OH)","6-7",210,87,225,50,5,"OH","SF",2022,"west-virginia","Commit",2
"Josiah Davis","Teays Valley Christian School (Scott Depot, WV)","6-1",190,87,242,36,3,"WV","PG",2022,"west-virginia","Commit",2
"Patrick Suemnick","Triton College (River Grove, IL)","6-8",230,83,10,2,2,"IL","PF",2022,"west-virginia","Commit",1
"Tre Mitchell",NA,"6-9",220,89,NA,NA,NA,NA,"C",2022,"west-virginia","Transfer",1
"Emmitt Matthews Jr.",NA,"6-7",160,88,NA,NA,NA,NA,"SF",2022,"west-virginia","Transfer",3
"Joe Toussaint",NA,"6-0",165,88,NA,NA,NA,NA,"PG",2022,"west-virginia","Transfer",3
"Erik Stevenson",NA,"6-4",180,88,NA,NA,NA,NA,"SG",2022,"west-virginia","Transfer",3
"Noah Farrakhan",NA,"6-2",170,81,NA,NA,NA,NA,"PG",2023,"west-virginia","Transfer",1
"Akok Akok",NA,"6-10",195,89,NA,NA,NA,NA,"PF",2023,"west-virginia","Transfer",2
"Quinn Slazinski",NA,"6-9",230,84,NA,NA,NA,NA,"PF",2023,"west-virginia","Transfer",1
"RaeQuan Battle",NA,"6-5",175,93,NA,NA,NA,NA,"SF",2023,"west-virginia","Transfer",2
"Jesse Edwards",NA,"6-11",205,97,NA,NA,NA,NA,"C",2023,"west-virginia","Transfer",1
"Kerr Kriisa",NA,"6-2",170,93,NA,NA,NA,NA,"PG",2023,"west-virginia","Transfer",2
"Omar Silverio",NA,"6-3",170,89,NA,NA,NA,NA,"PG",2023,"west-virginia","Transfer",2
"Jose Perez",NA,"6-5",195,90,NA,NA,NA,NA,"SG",2023,"west-virginia","Transfer",1
"Jonathan Powell","Centerville (Dayton, OH)","6-5",170,88,164,28,7,"OH","SG",2024,"west-virginia","Commit",2
"KJ Tenner","Cordova (Cordova, TN)","6-0",160,70,NA,NA,NA,"TN","PG",2024,"west-virginia","Commit",1
"Jayden Stone",NA,"6-3",175,87,NA,NA,NA,NA,"SG",2024,"west-virginia","Transfer",1
"Joseph Yesufu",NA,"6-0",215,86,NA,NA,NA,NA,"PG",2024,"west-virginia","Transfer",1
"Javon Small",NA,"6-3",195,96,NA,NA,NA,NA,"PG",2024,"west-virginia","Transfer",1
"Eduardo Andre",NA,"6-10",220,88,NA,NA,NA,NA,"C",2024,"west-virginia","Transfer",2
"Toby Okani",NA,"6-7",NA,89,NA,NA,NA,NA,"SF",2024,"west-virginia","Transfer",2
"Amani Hansberry",NA,"6-8",225,90,NA,NA,NA,NA,"PF",2024,"west-virginia","Transfer",1
"Sencire Harris",NA,"6-3",160,89,NA,NA,NA,NA,"CG",2024,"west-virginia","Transfer",2
"Tucker DeVries",NA,"6-7",210,97,NA,NA,NA,NA,"SF",2024,"west-virginia","Transfer",1
"Jayden Forsythe","Westtown School (Norristown, PA)","6-5",190,90,119,31,2,"PA","SF",2025,"west-virginia","Commit",2
"DeAndre Thomas","Allen (Allen, TX)","6-7",210,86,NA,61,27,"TX","PF",2025,"west-virginia","Commit",2
"Amir Jenkins","Worcester Academy (Worcester, MA)","6-2",170,91,84,12,2,"MA","PG",2025,"west-virginia","Commit",2
"Morris Ugusuk",NA,"6-4",160,85,NA,NA,NA,NA,"CG",2025,"west-virginia","Transfer",1
"Treysen Eaglestaff",NA,"6-6",190,94,NA,NA,NA,NA,"SG",2025,"west-virginia","Transfer",1
"Chance Moore",NA,"6-6",210,91,NA,NA,NA,NA,"SG",2025,"west-virginia","Transfer",2
"Jasper Floyd",NA,"6-3",195,87,NA,NA,NA,NA,"SG",2025,"west-virginia","Transfer",1
"Jackson Fields",NA,"6-8",210,86,NA,NA,NA,NA,"PF",2025,"west-virginia","Transfer",2
"Honor Huff",NA,"5-10",168,90,NA,NA,NA,NA,"PG",2025,"west-virginia","Transfer",2
"Harlan Obioha",NA,"7-0",280,88,NA,NA,NA,NA,"C",2025,"west-virginia","Transfer",1
"Brenen Lorient",NA,"6-9",215,93,NA,NA,NA,NA,"PF",2025,"west-virginia","Transfer",1
