"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Mark Vital","Washington-Marion (Lake Charles, LA)","6-6",220,93,63,12,2,"LA","SF",2016,"baylor","Commit",1
"Nuni Omot","Indian Hills C.C. (Ottumwa, IA)","6-9",205,88,14,2,2,"IA","SF",2016,"baylor","Commit",1
"Tyson Jolly","Putnam City West (Oklahoma City, OK)","6-4",200,91,89,13,1,"OK","SG",2016,"baylor","Commit",1
"Tristan Clark","Judson (Converse, TX)","6-9",230,91,115,29,6,"TX","PF",2017,"baylor","Commit",1
"Leonard Allen","Round Rock (Round Rock, TX)","7-0",200,86,NA,36,30,"TX","C",2017,"baylor","Commit",1
"Jared Butler","Riverside Academy (Reserve, LA)","6-2",180,93,88,14,2,"LA","SG",2018,"baylor","Commit",1
"Matthew Mayer","Westlake (Austin, TX)","6-7",190,92,92,21,4,"TX","SF",2018,"baylor","Commit",1
"Flo Thamba","Mountain Mission School (Grundy, VA)","6-9",224,88,235,32,11,"VA","C",2018,"baylor","Commit",1
"Jordan Turner","Sunrise Christian Academy (Bel Aire, KS)","6-6",180,89,177,39,6,"KS","SF",2019,"baylor","Commit",1
"Dain Dainja","Park Center (Minneapolis, MN)","6-9",260,93,106,18,3,"MN","PF",2020,"baylor","Commit",1
"LJ Cryer","Morton Ranch (Katy, TX)","6-1",180,91,123,23,4,"TX","PG",2020,"baylor","Commit",1
"Zach Loveday","Huntington Expression Prep (Huntington, WV)","7-0",200,89,195,38,5,"WV","C",2020,"baylor","Commit",1
"Kendall Brown","Sunrise Christian Academy (Bel Aire, KS)","6-8",205,98,18,5,2,"KS","SF",2021,"baylor","Commit",1
"Langston Love","Montverde Academy (Montverde, FL)","6-4",190,97,38,10,7,"FL","SG",2021,"baylor","Commit",1
"Jeremy Sochan","Orange Academy (Germany, GERM)","6-8",215,95,51,13,1,"GERM","SF",2021,"baylor","Commit",1
"Keyonte George","IMG Academy (Bradenton, FL)","6-4",185,99,9,1,3,"FL","SG",2022,"baylor","Commit",1
"Josh Ojianwuna","NBA Global Academy (Australia, AUST)","6-10",230,92,88,16,2,"AUST","C",2022,"baylor","Commit",1
"Caleb Lohner",NA,"6-6",200,88,NA,NA,NA,NA,"SG",2022,"baylor","Transfer",1
"Jalen Bridges",NA,"6-7",180,90,NA,NA,NA,NA,"SF",2022,"baylor","Transfer",1
"Ja'Kobe Walter","Link Academy (Branson, MO)","6-5",180,98,8,1,1,"MO","SG",2023,"baylor","Commit",1
"Miro Little","Sunrise Christian Academy (Bel Aire, KS)","6-4",185,94,41,9,2,"KS","PG",2023,"baylor","Commit",3
"Yves Missi","Prolific Prep (Fort Lauderdale, FL)","6-10",210,94,42,6,9,"FL","C",2023,"baylor","Commit",3
"RayJ Dennis",NA,"6-2",170,94,NA,NA,NA,NA,"PG",2023,"baylor","Transfer",3
"Jayden Nunn",NA,"6-4",190,91,NA,NA,NA,NA,"PG",2023,"baylor","Transfer",1
"VJ Edgecombe","Long Island Lutheran (Glen Head, NY)","6-5",180,99,5,1,1,"NY","SF",2024,"baylor","Commit",1
"Rob Wright","Montverde Academy (Montverde, FL)","6-0",165,97,23,1,6,"FL","PG",2024,"baylor","Commit",2
"Jason Asemota","Hillcrest Prep (Phoenix, AZ)","6-8",190,93,73,16,3,"AZ","SF",2024,"baylor","Commit",1
"Norchad Omier",NA,"6-7",240,97,NA,NA,NA,NA,"PF",2024,"baylor","Transfer",2
"Jeremy Roach",NA,"6-2",180,96,NA,NA,NA,NA,"PG",2024,"baylor","Transfer",1
"Tounde Yessoufou","St Joseph (Lakewood, CA)","6-6",210,98,14,2,3,"CA","PF",2025,"baylor","Commit",1
"Andre Iguodala II","Link Academy (Branson, MO)","6-7",185,87,243,53,8,"MO","SF",2025,"baylor","Commit",1
"Isaac Williams",NA,"6-2",165,86,NA,NA,NA,NA,"CG",2025,"baylor","Transfer",1
"Daniel Skillings",NA,"6-6",210,91,NA,NA,NA,NA,"SF",2025,"baylor","Transfer",2
"Caden Powell",NA,"6-10",220,88,NA,NA,NA,NA,"C",2025,"baylor","Transfer",1
"Juslin Bodo Bodo",NA,"6-11",225,90,NA,NA,NA,NA,"C",2025,"baylor","Transfer",1
"JJ White",NA,"6-2",180,91,NA,NA,NA,NA,"PG",2025,"baylor","Transfer",2
"Obi Agbim",NA,"6-3",180,95,NA,NA,NA,NA,"SG",2025,"baylor","Transfer",2
"Michael Rataj",NA,"6-7",220,95,NA,NA,NA,NA,"PF",2025,"baylor","Transfer",2
