"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Gavin Baxter","Timpview (Provo, UT)","6-6",165,89,143,29,4,"UT","SF",2016,"byu","Commit",2
"Yoeli Childs","Bingham (South Jordan, UT)","6-7",220,89,153,34,5,"UT","PF",2016,"byu","Commit",2
"Connor Harding","Highland (Pocatello, ID)","6-5",175,87,244,48,1,"ID","SF",2016,"byu","Commit",1
"Kolby Lee","Rocky Mountain  (Meridian, ID)","6-9",260,85,NA,38,1,"ID","C",2017,"byu","Commit",1
"Hunter Erickson","Timpview (Provo, UT)","6-3",180,88,239,50,2,"UT","SG",2018,"byu","Commit",1
"Nate Hansen","Timpview (Provo, UT)","6-3",165,86,NA,65,11,"UT","PG",2019,"byu","Commit",1
"Bernardo Da Silva","Wasatch Academy (Mount Pleasant, UT)","6-9",210,88,NA,60,10,"UT","SF",2019,"byu","Commit",1
"Caleb Lohner","Wasatch Academy (Mount Pleasant, UT)","6-6",200,89,178,38,2,"UT","SG",2020,"byu","Commit",2
"Richie Saunders","Wasatch Academy (Mount Pleasant, UT)","6-5",180,89,243,29,4,"UT","SG",2020,"byu","Commit",2
"Fousseyni Traore","Wasatch Academy (Mount Pleasant, UT)","6-7",220,85,NA,51,5,"UT","C",2021,"byu","Commit",1
"Braeden Moore","Donda Academy (Simi Valley, CA)","6-8",210,80,NA,78,46,"CA","PF",2022,"byu","Commit",1
"Egor Demin","Russia (Russia, RUSS)","6-8",190,98,16,2,2,"RUSS","CG",2024,"byu","Commit",1
"Kanon Catchings","Overtime Elite (Atlanta, GA)","6-8",185,94,41,8,3,"GA","PF",2024,"byu","Commit",1
"Brody Kozlowski","Corner Canyon (Draper, UT)","6-7",190,88,126,25,3,"UT","PF",2024,"byu","Commit",2
"Elijah Crawford","Brewster Academy (Wolfeboro, NH)","6-1",175,88,152,14,3,"NH","PG",2024,"byu","Commit",2
"Brooks Bahr","Keller (Keller, TX)","6-4",180,89,123,16,5,"TX","CG",2024,"byu","Commit",1
"Mawot Mag",NA,"6-7",215,90,NA,NA,NA,NA,"PF",2024,"byu","Transfer",1
"AJ Dybantsa","Utah Prep (Hurricane, UT)","6-9",210,100,2,1,1,"UT","SF",2025,"byu","Commit",1
"Xavion Staton","Utah Prep (Hurricane, UT)","6-11",207,95,37,6,3,"UT","C",2025,"byu","Commit",2
"Chamberlain Burgess","Orem (Orem, UT)","6-9",205,90,100,18,5,"UT","PF",2025,"byu","Commit",1
"Nate Pickens",NA,"6-3",175,87,NA,NA,NA,NA,"PG",2025,"byu","Transfer",2
"Tyler Mrus",NA,"6-7",205,87,NA,NA,NA,NA,"SF",2025,"byu","Transfer",2
"Dominique Diomande",NA,"6-8",190,89,NA,NA,NA,NA,"SF",2025,"byu","Transfer",1
"Kennard Davis",NA,"6-6",215,95,NA,NA,NA,NA,"SF",2025,"byu","Transfer",2
"Rob Wright",NA,"6-1",183,98,NA,NA,NA,NA,"PG",2025,"byu","Transfer",1
