"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Clayton Hughes","University School of Jackson (Jackson, TN)","6-5",190,88,209,41,6,"TN","SF",2016,"central-florida","Commit",1
"Kani Coles","Pensacola State College (Pensacola, FL)","6-8",0,88,45,11,11,"FL","PF",2017,"central-florida","Commit",1
"Myles Douglas","Paul VI Catholic (Fairfax, VA)","6-6",190,87,NA,55,13,"VA","SF",2017,"central-florida","Commit",2
"Danny Lewis","Westlake (Atlanta, GA)","6-4",175,87,NA,57,19,"GA","SG",2017,"central-florida","Commit",2
"Andreas Fuller","Admiral Farragut Academy (St. Petersburg, FL)","6-6",190,86,NA,85,36,"FL","SF",2018,"central-florida","Commit",1
"Tony Johnson","Eufaula  (Eufaula, AL)","6-3",183,88,NA,49,5,"AL","PG",2019,"central-florida","Commit",1
"Avery Diggs","Southwest Mississippi C.C. (Summit, MS)","6-10",240,86,34,2,3,"MS","C",2019,"central-florida","Commit",1
"Moses Bol","Colby C.C. (Colby, KS)","7-2",240,85,43,4,3,"KS","C",2019,"central-florida","Commit",1
"Darin Green","Wharton (Tampa, FL)","6-5",175,84,NA,89,38,"FL","SG",2019,"central-florida","Commit",1
"Jamille Reynolds","Lakewood (St. Petersburg, FL)","6-9",230,88,NA,71,28,"FL","PF",2020,"central-florida","Commit",1
"Darius Johnson","Episcopal (Alexandria, VA)","6-0",180,89,150,22,4,"VA","PG",2021,"central-florida","Commit",1
"Taylor Hendricks","Calvary Christian Academy (Fort Lauderdale, FL)","6-9",205,93,84,13,12,"FL","PF",2022,"central-florida","Commit",1
"Tyler Hendricks","Calvary Christian Academy (Fort Lauderdale, FL)","6-4",165,75,NA,72,34,"FL","SG",2022,"central-florida","Commit",1
"Ithiel Horton",NA,"6-3",180,88,NA,NA,NA,NA,"PG",2022,"central-florida","Transfer",1
"Lahat Thioune",NA,"6-11",205,84,NA,NA,NA,NA,"PF",2022,"central-florida","Transfer",1
"Michael Durr",NA,"7-0",250,80,NA,NA,NA,NA,"C",2022,"central-florida","Transfer",1
"Comeh Emuobor","Brewster Academy (Wolfeboro, NH)","6-5",190,88,197,43,7,"NH","SF",2023,"central-florida","Commit",1
"Demarr Langford",NA,"6-5",220,87,NA,NA,NA,NA,"SG",2023,"central-florida","Transfer",1
"Jaykwon Walton",NA,"6-6",195,90,NA,NA,NA,NA,"CG",2023,"central-florida","Transfer",1
"Shemarri Allen",NA,"6-4",200,91,NA,NA,NA,NA,"SG",2023,"central-florida","Transfer",1
"Moustapha Thiam","DME Academy (Daytona Beach, FL)","7-1",204,94,43,8,9,"FL","C",2024,"central-florida","Commit",1
"Dior Johnson","Clarendon College (Clarendon, TX)","6-3",180,92,1,1,1,"TX","PG",2024,"central-florida","Commit",2
"Jordan Ivy-Curry",NA,"6-3",175,87,NA,NA,NA,NA,"PG",2024,"central-florida","Transfer",1
"Keyshawn Hall",NA,"6-7",255,92,NA,NA,NA,NA,"PF",2024,"central-florida","Transfer",2
"Benny Williams",NA,"6-8",180,89,NA,NA,NA,NA,"SF",2024,"central-florida","Transfer",1
"Mikey Williams",NA,"6-3",185,91,NA,NA,NA,NA,"CG",2024,"central-florida","Transfer",1
"Chris Johnson",NA,"6-5",180,89,NA,NA,NA,NA,"CG",2025,"central-florida","Transfer",2
"Devan Cambridge",NA,"6-6",215,89,NA,NA,NA,NA,"SF",2025,"central-florida","Transfer",2
"Kris Parker",NA,"6-9",201,87,NA,NA,NA,NA,"SF",2025,"central-florida","Transfer",2
"BJ Freeman",NA,"6-6",180,91,NA,NA,NA,NA,"SF",2025,"central-florida","Transfer",1
"Carmelo Pacheco",NA,"6-5",190,87,NA,NA,NA,NA,"SG",2025,"central-florida","Transfer",2
"Jamichael Stillwell",NA,"6-8",225,93,NA,NA,NA,NA,"PF",2025,"central-florida","Transfer",1
"John Bol",NA,"7-2",210,90,NA,NA,NA,NA,"C",2025,"central-florida","Transfer",3
"Themus Fulks",NA,"6-2",185,90,NA,NA,NA,NA,"PG",2025,"central-florida","Transfer",3
"George Beale Jr",NA,"6-4",200,85,NA,NA,NA,NA,"CG",2025,"central-florida","Transfer",1
"Jordan Burks",NA,"6-9",205,90,NA,NA,NA,NA,"SF",2025,"central-florida","Transfer",3
"Riley Kugel",NA,"6-5",210,92,NA,NA,NA,NA,"SG",2025,"central-florida","Transfer",1
