"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jarron Cumberland","Wilmington (Wilmington, OH)","6-4",200,96,42,6,3,"OH","SG",2016,"cincinnati","Commit",1
"Nysier Brooks","Life Center Academy (Burlington, NJ)","6-9",200,88,207,27,8,"NJ","C",2016,"cincinnati","Commit",1
"Keith Williams","Bishop Loughlin Memorial (Brooklyn, NY)","6-5",190,91,110,21,5,"NY","SG",2017,"cincinnati","Commit",1
"Mamoudou Diarra","22 Feet Academy  (Greenville, SC)","6-9",205,87,226,46,5,"SC","SF",2017,"cincinnati","Commit",1
"Logan Johnson","St. Francis (Mountain View, CA)","6-2",170,90,143,22,13,"CA","PG",2018,"cincinnati","Commit",1
"Rashawn Fredericks","Motlow State Community College (Tullahoma, TN)","6-6",0,89,8,3,1,"TN","SG",2018,"cincinnati","Commit",1
"LaQuill Hardnett","Perry Hall (Nottingham, MD)","6-7",195,88,NA,72,9,"MD","SF",2018,"cincinnati","Commit",1
"Prince Gillam","Fresno (Fresno, CA)","6-6",220,87,NA,60,38,"CA","PF",2018,"cincinnati","Commit",1
"Zach Harvey","Prolific Prep (Fort Lauderdale, FL)","6-4",170,95,70,9,7,"FL","SG",2019,"cincinnati","Commit",1
"Mika Adams-Woods","New Hampton School (New Hampton, NH)","6-3",175,88,232,31,7,"NH","CG",2019,"cincinnati","Commit",2
"Jeremiah Davenport","Hargrave Military Academy (Chatham, VA)","6-5",205,88,1,1,1,"VA","SG",2019,"cincinnati","Commit",2
"Tari Eason","Garfield (Seattle, WA)","6-8",210,90,149,31,2,"WA","PF",2020,"cincinnati","Commit",1
"Gabe Madsen","Mayo Senior (Rochester, MN)","6-6",180,89,173,35,7,"MN","SF",2020,"cincinnati","Commit",3
"Viktor Lakhin","Russia (Russia, RUSS)","6-9",210,89,201,44,1,"RUSS","C",2020,"cincinnati","Commit",3
"Mike Saunders","Wasatch Academy (Mount Pleasant, UT)","6-0",165,89,228,32,3,"UT","PG",2020,"cincinnati","Commit",3
"Mason Madsen","Mayo Senior (Rochester, MN)","6-3",175,79,NA,50,8,"MN","CG",2020,"cincinnati","Commit",1
"Daniel Skillings","Roman Catholic (Philadelphia, PA)","6-5",180,91,105,12,2,"PA","SF",2022,"cincinnati","Commit",1
"Josh Reed","Pace Academy (Atlanta, GA)","6-6",195,88,205,45,7,"GA","SF",2022,"cincinnati","Commit",1
"Sage Tolentino","Hamilton (Hamilton, OH)","7-0",210,85,NA,41,7,"OH","C",2022,"cincinnati","Commit",1
"Kalu Ezikpe",NA,"6-8",220,87,NA,NA,NA,NA,"PF",2022,"cincinnati","Transfer",2
"Landers Nolley",NA,"6-7",195,89,NA,NA,NA,NA,"SF",2022,"cincinnati","Transfer",1
"Robert Phinisee",NA,"6-1",190,87,NA,NA,NA,NA,"PG",2022,"cincinnati","Transfer",2
"Rayvon Griffith","Compass Prep (Chandler, AZ)","6-5",180,93,64,14,3,"AZ","SG",2023,"cincinnati","Commit",1
"Jizzle James","Olympia (Orlando, FL)","6-1",180,92,80,12,7,"FL","PG",2023,"cincinnati","Commit",1
"Aziz Bandaogo",NA,"7-0",215,94,NA,NA,NA,NA,"C",2023,"cincinnati","Transfer",1
"Simas Lukosius",NA,"6-7",225,90,NA,NA,NA,NA,"SF",2023,"cincinnati","Transfer",1
"CJ Fredrick",NA,"6-4",165,89,NA,NA,NA,NA,"SG",2023,"cincinnati","Transfer",2
"Jamille Reynolds",NA,"6-10",285,89,NA,NA,NA,NA,"C",2023,"cincinnati","Transfer",2
"Tyler Betsey","St. Thomas More (Oakdale, CT)","6-8",185,93,53,10,2,"CT","SF",2024,"cincinnati","Commit",1
"Tyler McKinley","Winton Woods (Cincinnati, OH)","6-8",220,92,89,18,2,"OH","PF",2024,"cincinnati","Commit",1
"Dillon Mitchell",NA,"6-8",205,96,NA,NA,NA,NA,"PF",2024,"cincinnati","Transfer",1
"Arrinten Page",NA,"6-11",220,90,NA,NA,NA,NA,"C",2024,"cincinnati","Transfer",1
"Connor Hickman",NA,"6-2",175,91,NA,NA,NA,NA,"CG",2024,"cincinnati","Transfer",1
"Shon Abaev","Calvary Christian Academy (Fort Lauderdale, FL)","6-7",195,96,22,6,6,"FL","SF",2025,"cincinnati","Commit",1
"Keyshuan Tillery","New Hampton School (New Hampton, NH)","6-0",184,93,57,8,3,"NH","PG",2025,"cincinnati","Commit",1
"Baba Miller",NA,"6-11",215,92,NA,NA,NA,NA,"C",2025,"cincinnati","Transfer",2
"Jalen Haynes",NA,"6-8",260,88,NA,NA,NA,NA,"PF",2025,"cincinnati","Transfer",1
"Jalen Celestine",NA,"6-7",215,92,NA,NA,NA,NA,"SG",2025,"cincinnati","Transfer",2
"Moustapha Thiam",NA,"7-2",235,97,NA,NA,NA,NA,"C",2025,"cincinnati","Transfer",1
"Sencire Harris",NA,"6-4",174,90,NA,NA,NA,NA,"CG",2025,"cincinnati","Transfer",1
"Kerr Kriisa",NA,"6-3",185,91,NA,NA,NA,NA,"PG",2025,"cincinnati","Transfer",1
