"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Lucas Siewert","Cathedral (Los Angeles, CA)","6-10",230,88,205,50,18,"CA","PF",2016,"colorado","Commit",1
"Bryce Peters","Damien (La Verne, CA)","6-4",190,85,NA,20,26,"CA","PG",2016,"colorado","Commit",1
"D'Shawn Schwartz","Sand Creek (Colorado Springs, CO)","6-5",222,93,89,24,1,"CO","SF",2017,"colorado","Commit",1
"Tyler Bey","Middlebrooks Academy (Los Angeles, CA)","6-8",200,91,117,30,12,"CA","PF",2017,"colorado","Commit",1
"McKinley Wright","Champlin Park (Champlin, MN)","6-0",180,89,168,30,6,"MN","PG",2017,"colorado","Commit",1
"Evan Battey","Villa Park (Villa Park, CA)","6-6",280,88,194,50,18,"CA","PF",2017,"colorado","Commit",1
"Daylen Kountz","East (Denver, CO)","6-4",170,86,NA,78,3,"CO","CG",2018,"colorado","Commit",1
"Jakub Dombek","Get Better Academy (Czech Republic, CZEC)","6-9",205,85,NA,NA,NA,"CZEC","PF",2018,"colorado","Commit",1
"Keeshawn Barthelemy","Thornlea Secondary School (Thornhill, ON)","6-2",170,91,116,14,2,"ON","PG",2019,"colorado","Commit",1
"Nique Clifford","The Vanguard School (Colorado Springs, CO)","6-5",170,92,110,15,1,"CO","SG",2020,"colorado","Commit",1
"Jabari Walker","Compass Prep (Chandler, AZ)","6-8",195,90,157,35,9,"AZ","PF",2020,"colorado","Commit",1
"Luke O'Brien","Columbine (Littleton, CO)","6-8",200,88,NA,76,4,"CO","SG",2020,"colorado","Commit",1
"Jason Harris","Higley (Gilbert, AZ)","6-7",220,89,NA,48,14,"AZ","PF",2020,"colorado","Commit",1
"Lawson Lovering","Cheyenne Central (Cheyenne, WY)","7-0",220,95,59,10,1,"WY","C",2021,"colorado","Commit",1
"K.J. Simpson","Chaminade (West Hills, CA)","6-2",175,92,95,8,7,"CA","CG",2021,"colorado","Commit",1
"Quincy Allen","Maret School (Washington, DC)","6-7",190,91,106,21,1,"DC","SF",2021,"colorado","Commit",1
"Javon Ruffin","Isidore Newman (New Orleans, LA)","6-5",195,89,132,35,1,"LA","CG",2021,"colorado","Commit",1
"Julian Hammond","Cherry Creek (Englewood, CO)","6-2",180,88,218,24,1,"CO","CG",2021,"colorado","Commit",1
"Joe Hurlburt","Enderlin Area (Enderlin, ND)","6-10",220,89,166,27,1,"ND","C",2022,"colorado","Commit",1
"RJ Smith","Damien (La Verne, CA)","6-4",180,84,NA,45,33,"CA","SG",2022,"colorado","Commit",1
"Ethan Wright",NA,"6-2",NA,86,NA,NA,NA,NA,"SG",2022,"colorado","Transfer",1
"Cody Williams","Perry (Gilbert, AZ)","6-8",180,99,4,2,1,"AZ","SF",2023,"colorado","Commit",1
"Assane Diop","Accelerated Schools (Denver, CO)","6-10",210,88,158,26,2,"CO","C",2023,"colorado","Commit",1
"Courtney Anderson","Dublin (Dublin, CA)","6-5",180,85,NA,62,45,"CA","SG",2023,"colorado","Commit",1
"Bangot Dak","Lincoln Southeast (Lincoln, NE)","6-9",180,84,NA,53,2,"NE","PF",2023,"colorado","Commit",1
"Eddie Lampkin Jr.",NA,"6-10",295,89,NA,NA,NA,NA,"C",2023,"colorado","Transfer",1
"Andrew Crawford","ThunderRidge (Littleton, CO)","6-6",175,90,105,14,1,"CO","CG",2024,"colorado","Commit",1
"Sebastian Rancik","JSerra Catholic (San Juan Capistrano, CA)","6-9",210,88,148,31,18,"CA","PF",2024,"colorado","Commit",2
"Felix Kossaras","Fort Erie International Academy (Fort Erie, ON)","6-5",180,88,175,30,9,"ON","SG",2024,"colorado","Commit",2
"Andrej Jakimovski",NA,"6-7",180,91,NA,NA,NA,NA,"SF",2024,"colorado","Transfer",1
"Josiah Sanders","Colorado Prep (Denver, CO)","6-4",185,90,129,17,1,"CO","CG",2025,"colorado","Commit",3
"Jalin Holland","Dream City Christian (Glendale, AZ)","6-4",190,90,132,23,5,"AZ","SG",2025,"colorado","Commit",3
"Tacko Fawaz","Dream City Christian (Glendale, AZ)","6-10",235,90,150,24,8,"AZ","C",2025,"colorado","Commit",3
"Isaiah Johnson","Campbell Hall School (Valley Village, CA)","6-1",170,89,179,20,17,"CA","PG",2025,"colorado","Commit",1
"Ian Inman","College Park (The Woodlands, TX)","6-5",180,86,NA,68,29,"TX","SF",2025,"colorado","Commit",1
"Barrington Hargress",NA,"6-0",195,94,NA,NA,NA,NA,"PG",2025,"colorado","Transfer",1
