"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Armoni Brooks","McNeil (Austin, TX)","6-4",180,84,NA,62,20,"TX","SG",2016,"houston","Commit",1
"Valentine Sangoyomi","Northern Oklahoma (Tonkawa, OK)","6-11",260,70,NA,NA,NA,"OK","C",2016,"houston","Commit",1
"Gabe Grant","Three Rivers C.C. (Poplar Bluff, MO)","6-6",220,89,17,5,1,"MO","SF",2017,"houston","Commit",1
"Fabian White","Atascocita (Humble, TX)","6-8",210,87,NA,63,22,"TX","PF",2017,"houston","Commit",2
"Breaon Brady","Saddleback College (Mission Viejo, CA)","6-8",230,87,48,12,3,"CA","PF",2017,"houston","Commit",2
"Mike Adewunmi","Lake Ridge (Mansfield, TX)","6-4",190,86,NA,21,28,"TX","CG",2017,"houston","Commit",1
"Nate Hinton","Gaston Day School Inc (Gastonia, NC)","6-6",198,91,116,23,10,"NC","SG",2018,"houston","Commit",1
"Cameron Tyson","Bothell (Bothell, WA)","6-3",185,82,NA,101,8,"WA","SG",2018,"houston","Commit",1
"Caleb Mills","Asheville Christian Academy (Swannanoa, NC)","6-3",170,89,150,23,6,"NC","PG",2019,"houston","Commit",1
"J'Wan Roberts","Shoemaker (Killeen, TX)","6-7",190,88,225,42,20,"TX","PF",2019,"houston","Commit",2
"Marcus Sasser","Red Oak (Red Oak, TX)","6-2",170,88,NA,62,24,"TX","SG",2019,"houston","Commit",2
"Tramon Mark","Dickinson (Dickinson, TX)","6-4",180,94,94,18,3,"TX","PG",2020,"houston","Commit",1
"Kiyron Powell","Benjamin Bosse (Evansville, IN)","6-9",205,89,187,34,6,"IN","C",2020,"houston","Commit",2
"Jamal Shead","Manor (Manor, TX)","6-1",175,89,191,28,5,"TX","PG",2020,"houston","Commit",2
"Ramon Walker Jr.","Shadow Creek (Pearland, TX)","6-5",195,90,126,25,8,"TX","SF",2021,"houston","Commit",1
"Ja'Vier Francis","Montverde Academy (Montverde, FL)","6-8",200,89,144,20,22,"FL","PF",2021,"houston","Commit",2
"Emanuel Sharp","Bishop McLaughlin Catholic (Spring Hill, FL)","6-4",200,89,191,47,26,"FL","SG",2021,"houston","Commit",2
"Robbie Armbrester","Wasatch Academy (Mount Pleasant, UT)","6-6",215,87,233,41,3,"UT","SF",2021,"houston","Commit",1
"Jarace Walker","IMG Academy (Bradenton, FL)","6-8",220,98,12,2,4,"FL","PF",2022,"houston","Commit",1
"Terrance Arceneaux","Beaumont United (Beaumont, TX)","6-7",190,97,31,10,4,"TX","SF",2022,"houston","Commit",1
"Cedric Lath","Balboa City School (San Diego, CA)","6-9",235,88,221,33,25,"CA","C",2022,"houston","Commit",1
"Joseph Tugler","Cy Falls (Houston, TX)","6-7",215,92,69,9,4,"TX","PF",2023,"houston","Commit",2
"Jacob McFarland","Rancho Verde (Moreno Valley, CA)","6-10",205,90,109,15,16,"CA","C",2023,"houston","Commit",1
"Kordelius Jefferson","Martin (Arlington, TX)","6-3",180,88,154,18,14,"TX","CG",2023,"houston","Commit",1
"Damian Dunn",NA,"6-5",195,92,NA,NA,NA,NA,"SG",2023,"houston","Transfer",2
"LJ Cryer",NA,"6-1",180,96,NA,NA,NA,NA,"PG",2023,"houston","Transfer",1
"Mercy Miller","Notre Dame (Sherman Oaks, CA)","6-4",180,93,56,8,7,"CA","CG",2024,"houston","Commit",1
"Chase McCarty","IMG Academy (Bradenton, FL)","6-5",200,91,98,20,13,"FL","SF",2024,"houston","Commit",1
"Milos Uzan",NA,"6-4",193,94,NA,NA,NA,NA,"PG",2024,"houston","Transfer",1
"Chris Cenac Jr.","Link Academy (Branson, MO)","6-10",233,99,7,1,1,"MO","PF",2025,"houston","Commit",1
"Isiah Harwell","Wasatch Academy (Mount Pleasant, UT)","6-6",200,97,16,4,2,"UT","SG",2025,"houston","Commit",2
"Kingston Flemings","Brennan (San Antonio, TX)","6-3",175,97,20,3,1,"TX","PG",2025,"houston","Commit",2
"Bryce Jackson","Shadow Creek (Pearland, TX)","6-5",185,88,217,46,19,"TX","SG",2025,"houston","Commit",1
"Kalifa Sakho",NA,"6-11",220,89,NA,NA,NA,NA,"PF",2025,"houston","Transfer",1
