"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Donovan Jackson","Iowa Western C.C. (Council Bluffs, IA)","6-2",175,91,9,1,1,"IA","PG",2016,"iowa-state","Commit",1
"Cameron Lard","Natchitoches Central (Natchitoches, LA)","6-9",215,90,122,28,7,"LA","PF",2016,"iowa-state","Commit",1
"Jakolby Long","Mustang (Mustang, OK)","6-4",200,89,130,20,2,"OK","SG",2016,"iowa-state","Commit",2
"Solomon Young","Sacramento (Sacramento, CA)","6-6",215,89,137,30,9,"CA","PF",2016,"iowa-state","Commit",2
"Lindell Wigginton","Oak Hill Academy (Mouth Of Wilson, VA)","6-1",175,96,47,9,2,"VA","PG",2017,"iowa-state","Commit",1
"Terrence Lewis","Riverside (Milwaukee, WI)","6-6",195,90,133,31,2,"WI","SF",2017,"iowa-state","Commit",1
"Talen Horton-Tucker","Simeon (Chicago, IL)","6-5",210,94,65,14,3,"IL","SF",2018,"iowa-state","Commit",1
"Zion Griffin","Hinsdale South (Darien, IL)","6-6",208,91,103,26,4,"IL","SF",2018,"iowa-state","Commit",1
"Tyrese Haliburton","North (Oshkosh, WI)","6-5",170,89,177,30,4,"WI","PG",2018,"iowa-state","Commit",1
"George Conditt","Corliss (Chicago, IL)","6-10",200,88,NA,47,9,"IL","PF",2018,"iowa-state","Commit",1
"Tre Jackson","Blythewood (Blythewood, SC)","6-1",170,89,187,22,3,"SC","PG",2019,"iowa-state","Commit",2
"Luke Anderson","Lakeland (Lakeland, FL)","6-8",215,89,219,38,19,"FL","PF",2019,"iowa-state","Commit",2
"Marcedus Leech","Poplar Bluff (Poplar Bluff, MO)","6-5",170,88,NA,69,5,"MO","SF",2019,"iowa-state","Commit",2
"Caleb Grill","Maize (Maize, KS)","6-3",180,88,NA,46,12,"KS","PG",2019,"iowa-state","Commit",2
"Xavier Foster","Oskaloosa (Oskaloosa, IA)","7-0",225,93,103,16,1,"IA","PF",2020,"iowa-state","Commit",1
"Dudley Blackwell","Somerset Academy Charter (Pembroke Pines, FL)","6-5",185,89,207,40,15,"FL","SF",2020,"iowa-state","Commit",2
"Darlinstone Dubar","Scotland Campus (Scotland, PA)","6-5",180,89,209,42,5,"PA","SG",2020,"iowa-state","Commit",2
"Jaden Walker","Discovery (Lawrenceville, GA)","6-5",170,88,NA,51,22,"GA","PG",2020,"iowa-state","Commit",1
"Tyrese Hunter","St Catherines (Racine, WI)","6-1",175,96,40,5,2,"WI","PG",2021,"iowa-state","Commit",1
"Tre King",NA,"6-8",225,89,NA,NA,NA,NA,"PF",2021,"iowa-state","Transfer",1
"Demarion Watson","Totino-Grace (Minneapolis, MN)","6-6",175,89,173,42,6,"MN","SF",2022,"iowa-state","Commit",3
"Tamin Lipsey","Ames (Ames, IA)","6-2",190,89,192,29,2,"IA","PG",2022,"iowa-state","Commit",3
"Eli King","Caledonia (Caledonia, MN)","6-3",185,88,203,27,7,"MN","PG",2022,"iowa-state","Commit",2
"Osun Osunniyi",NA,"6-10",185,90,NA,NA,NA,NA,"C",2022,"iowa-state","Transfer",1
"Jaren Holmes",NA,"6-4",210,87,NA,NA,NA,NA,"SG",2022,"iowa-state","Transfer",1
"Hason Ward",NA,"6-9",200,88,NA,NA,NA,NA,"PF",2022,"iowa-state","Transfer",2
