"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Josh Jackson","Justin-Siena (Napa, CA)","6-7",202,102,1,1,1,"CA","SF",2016,"kansas","Commit",1
"Udoka Azubuike","The Potter's House Christian Academy (Jacksonville, FL)","6-11",265,97,40,6,4,"FL","C",2016,"kansas","Commit",1
"Mitch Lightfoot","Gilbert Christian (Gilbert, AZ)","6-8",200,90,109,25,1,"AZ","PF",2016,"kansas","Commit",1
"Billy Preston","Oak Hill Academy (Mouth Of Wilson, VA)","6-10",230,98,22,8,1,"VA","PF",2017,"kansas","Commit",1
"Silvio De Sousa","IMG Academy (Bradenton, FL)","6-9",242,97,43,12,5,"FL","PF",2017,"kansas","Commit",1
"Marcus Garrett","Skyline (Dallas, TX)","6-6",180,96,51,3,3,"TX","PG",2017,"kansas","Commit",1
"Quentin Grimes","College Park (The Woodlands, TX)","6-5",200,99,13,2,1,"TX","SG",2018,"kansas","Commit",1
"Devon Dotson","Providence Day School (Charlotte, NC)","6-2",180,98,21,6,2,"NC","PG",2018,"kansas","Commit",1
"David McCormack","Oak Hill Academy (Mouth Of Wilson, VA)","6-9",255,97,40,6,2,"VA","C",2018,"kansas","Commit",1
"Ochai Agbaji","Oak Park (Kansas City, MO)","6-5.5",195,89,179,42,5,"MO","SG",2018,"kansas","Commit",1
"Jalen Wilson","Guyer (Denton, TX)","6-8",215,96,46,14,6,"TX","SF",2019,"kansas","Commit",2
"Tristan Enaruna","Wasatch Academy (Mount Pleasant, UT)","6-9",205,96,55,15,1,"UT","SF",2019,"kansas","Commit",2
"Dajuan Harris","Rock Bridge (Columbia, MO)","6-2",160,92,102,10,1,"MO","CG",2019,"kansas","Commit",1
"Christian Braun","Blue Valley Northwest (Overland Park, KS)","6-5",175,89,145,35,5,"KS","SF",2019,"kansas","Commit",2
"Issac McBride","Arkansas Baptist School System (Little Rock, AR)","6-1",170,89,163,24,1,"AR","PG",2019,"kansas","Commit",2
"Bryce Thompson","Booker T. Washington (Tulsa, OK)","6-5",175,98,20,4,1,"OK","SG",2020,"kansas","Commit",1
"Tyon Grant-Foster","Indian Hills C.C. (Ottumwa, IA)","6-7",190,95,2,2,1,"IA","SG",2020,"kansas","Commit",1
"Gethro Muscadin","Aspire Basketball Academy (Louisville, KY)","6-10",215,89,194,37,2,"KY","C",2020,"kansas","Commit",2
"Latrell Jossell","Keller Central (Keller, TX)","5-11",160,89,238,42,11,"TX","PG",2020,"kansas","Commit",2
"Zach Clemence","Sunrise Christian Academy (Bel Aire, KS)","6-9",210,93,73,18,3,"KS","PF",2021,"kansas","Commit",2
"KJ Adams","Westlake (Austin, TX)","6-7",200,93,85,22,5,"TX","PF",2021,"kansas","Commit",2
"Bobby Pettiford","South Granville Of Business And Global Commun (Creedmoor, NC)","6-1",175,92,94,14,5,"NC","PG",2021,"kansas","Commit",1
"Kyle Cuffe Jr.","Blair Academy (Blairstown, NJ)","6-2",180,91,109,29,3,"NJ","CG",2021,"kansas","Commit",1
