"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Curtis Jones","Huntington Expression Prep (Huntington, WV)","6-4",170,92,71,10,5,"WV","CG",2016,"oklahoma-state","Commit",1
"Cameron McGriff","South Grand Prairie (Grand Prairie, TX)","6-6",215,90,102,21,10,"TX","SF",2016,"oklahoma-state","Commit",1
"Lindy Waters","Brewster Academy (Wolfeboro, NH)","6-5",180,89,152,25,3,"NH","SG",2016,"oklahoma-state","Commit",1
"Thomas Dziagwa","Tampa Catholic (Tampa, FL)","6-4",180,85,NA,56,17,"FL","PG",2016,"oklahoma-state","Commit",2
"Brandon Averette","Richardson (Richardson, TX)","5-11",0,85,NA,64,19,"TX","PG",2016,"oklahoma-state","Commit",2
"Kentrevious Jones","Putnam Science Academy (Putnam, CT)","6-10",285,87,NA,27,6,"CT","C",2017,"oklahoma-state","Commit",1
"Zack Dawson","South Miami Senior (Miami, FL)","6-4",180,89,155,28,13,"FL","PG",2017,"oklahoma-state","Commit",1
"Isaac Likekele","Mansfield Timberview (Arlington, TX)","6-4",205,88,228,38,15,"TX","PG",2018,"oklahoma-state","Commit",4
"Duncan Demuth","Seminole (Seminole, FL)","6-8",215,88,NA,45,25,"FL","PF",2018,"oklahoma-state","Commit",4
"Maurice Calloo","Huntington Expression Prep (Huntington, WV)","6-8",210,88,NA,51,14,"WV","PF",2018,"oklahoma-state","Commit",4
"Yor Anei","Shawnee Mission South (Overland Park, KS)","6-9",205,88,NA,54,3,"KS","PF",2018,"oklahoma-state","Commit",4
"Marcus Watson","Buford (Buford, GA)","6-6",205,94,83,12,3,"GA","SF",2019,"oklahoma-state","Commit",1
"Avery Anderson III","Northwest (Justin, TX)","6-2",170,91,112,18,10,"TX","CG",2019,"oklahoma-state","Commit",2
"Chris Harris Jr.","South Garland (Garland, TX)","6-3",195,91,119,18,11,"TX","SG",2019,"oklahoma-state","Commit",2
"Kalib Boone","Memorial (Tulsa, OK)","6-8",190,89,158,35,2,"OK","C",2019,"oklahoma-state","Commit",1
"Keylan Boone","Memorial (Tulsa, OK)","6-6",175,88,NA,52,3,"OK","PF",2019,"oklahoma-state","Commit",1
"Cade Cunningham","Montverde Academy (Montverde, FL)","6-6",215,100,1,1,1,"FL","SG",2020,"oklahoma-state","Commit",1
"Matthew-Alexander Moncrieffe","Orangeville Prep (Mono, ON)","6-7",195,96,64,11,1,"ON","SF",2020,"oklahoma-state","Commit",1
"Rondel Walker","Putnam City West (Oklahoma City, OK)","6-2",160,90,138,18,3,"OK","PG",2020,"oklahoma-state","Commit",1
"Donovan Williams","North Star (Lincoln, NE)","6-5",190,89,NA,36,2,"NE","SG",2020,"oklahoma-state","Commit",1
"Montreal Pena","Martin (Arlington, TX)","6-9",200,88,NA,60,15,"TX","PF",2020,"oklahoma-state","Commit",1
"Quion Williams","Jonesboro (Jonesboro, AR)","6-4",185,90,124,28,4,"AR","SF",2022,"oklahoma-state","Commit",1
"John-Michael Wright",NA,"6-0",186,87,NA,NA,NA,NA,"PG",2022,"oklahoma-state","Transfer",1
"Eric Dailey Jr.","IMG Academy (Bradenton, FL)","6-7",215,94,38,9,3,"FL","PF",2023,"oklahoma-state","Commit",2
"Brandon Garrison","Del City (Del City, OK)","6-9",205,94,45,7,1,"OK","C",2023,"oklahoma-state","Commit",2
"Justin McBride","Plano (Plano, TX)","6-7",210,90,134,29,11,"TX","PF",2023,"oklahoma-state","Commit",2
"Jamyron Keller","Ellison (Killeen, TX)","6-1",190,89,147,17,12,"TX","CG",2023,"oklahoma-state","Commit",1
"Connor Dow","Broken Arrow (Broken Arrow, OK)","6-5",180,83,NA,74,3,"OK","SF",2023,"oklahoma-state","Commit",2
"Isaiah Miranda",NA,"7-0",200,91,NA,NA,NA,NA,"C",2023,"oklahoma-state","Transfer",1
"Jarius Hicklen",NA,"6-3",170,83,NA,NA,NA,NA,"SG",2023,"oklahoma-state","Transfer",2
"Mike Marsh",NA,"6-11",240,84,NA,NA,NA,NA,"C",2023,"oklahoma-state","Transfer",1
"Javon Small",NA,"6-2",180,90,NA,NA,NA,NA,"PG",2023,"oklahoma-state","Transfer",2
"Abou Ousmane",NA,"6-10",244,88,NA,NA,NA,NA,"PF",2024,"oklahoma-state","Transfer",1
"Marchelus Avery",NA,"6-5",200,87,NA,NA,NA,NA,"SF",2024,"oklahoma-state","Transfer",1
"Arturo Dean",NA,"5-9",145,90,NA,NA,NA,NA,"PG",2024,"oklahoma-state","Transfer",1
"Davonte Davis",NA,"6-4",185,89,NA,NA,NA,NA,"CG",2024,"oklahoma-state","Transfer",2
"Robert Jennings",NA,"6-7",220,89,NA,NA,NA,NA,"PF",2024,"oklahoma-state","Transfer",2
"Ryan Crotty","Miller School (Charlottesville, VA)","6-5",180,91,82,21,4,"VA","SG",2025,"oklahoma-state","Commit",1
"Ben Ahmed","Putnam Science Academy (Putnam, CT)","6-9",300,90,108,16,2,"CT","C",2025,"oklahoma-state","Commit",2
"Mekhi Ragland","Sunrise Christian Academy (Bel Aire, KS)","6-10",250,85,NA,50,4,"KS","C",2025,"oklahoma-state","Commit",1
"Jaylen Curry",NA,"6-0",155,87,NA,NA,NA,NA,"PG",2025,"oklahoma-state","Transfer",1
