"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jaylen Fisher","Bolton (Arlington, TN)","6-2",170,91,90,17,2,"TN","PG",2016,"tcu","Commit",1
"Josh Parrish","Seguin (Arlington, TX)","6-5",190,87,247,50,17,"TX","SF",2016,"tcu","Commit",1
"Kouat Noi","Montverde Academy (Montverde, FL)","6-7",205,86,NA,64,15,"FL","PF",2016,"tcu","Commit",1
"Kevin Samuel","St Thomas Episcopal School (Houston, TX)","6-10",220,90,120,13,7,"TX","C",2017,"tcu","Commit",2
"Shawn Olden","New Mexico J.C. (Hobbs, NM)","6-3",180,90,11,2,1,"NM","CG",2017,"tcu","Commit",2
"R.J. Nembhard","Keller (Keller, TX)","6-4",175,89,163,34,11,"TX","SG",2017,"tcu","Commit",2
"Lat Mayen","Australian Institute of Sport (Canberra, SW)","6-8",195,87,NA,76,1,"SW","PF",2017,"tcu","Commit",2
"Andre Pierce","Lee College (Baytown, TX)","6-10",215,89,34,8,11,"TX","PF",2017,"tcu","Commit",2
"Andre Rafus","Academy For College And Career Exploration (Baltimore, MD)","6-9",200,87,NA,51,6,"MD","SF",2017,"tcu","Commit",2
"Kaden Archie","Midlothian (Midlothian, TX)","6-6",200,92,99,22,5,"TX","SF",2018,"tcu","Commit",1
"Yuat Alok","Chipola College (Marianna, FL)","6-10",210,91,3,1,1,"FL","C",2018,"tcu","Commit",1
"Kendric Davis","Sam Houston (Houston, TX)","5-11",165,89,161,26,9,"TX","PG",2018,"tcu","Commit",1
"Russell Barlow","Berkner (Richardson, TX)","6-9",215,88,245,34,17,"TX","C",2018,"tcu","Commit",1
"P.J. Fuller","Findlay Prep (Henderson, NV)","6-4",170,94,85,13,1,"NV","SG",2019,"tcu","Commit",1
"Francisco Farabello","NBA Global Academy (Australia, AUST)","6-1",165,91,113,13,2,"AUST","PG",2019,"tcu","Commit",1
"Diante Smith","Choctawhatchee (Fort Walton Beach, FL)","6-6",195,90,131,30,16,"FL","SF",2019,"tcu","Commit",1
"Taryn Todd","Findlay Prep (Henderson, NV)","6-2",170,89,223,34,4,"NV","SG",2019,"tcu","Commit",1
"Mickey Pearson","Hargrave Military Academy (HS) (Chatham, VA)","6-7",180,88,NA,80,16,"VA","SF",2019,"tcu","Commit",1
"Terren Frank","Sierra Canyon (Chatsworth, CA)","6-7",200,89,184,43,23,"CA","PF",2020,"tcu","Commit",2
"Mike Miles","Lancaster (Lancaster, TX)","6-2",170,89,229,33,9,"TX","PG",2020,"tcu","Commit",2
"Eddie Lampkin Jr.","Morton Ranch (Katy, TX)","6-10",295,88,NA,58,16,"TX","PF",2020,"tcu","Commit",1
"Souleymane Doumbia","Navarro College (Corsicana, TX)","7-0",220,88,7,3,2,"TX","C",2021,"tcu","Commit",1
"PJ Haggerty","Crosby (Crosby, TX)","6-3",170,90,126,18,12,"TX","SG",2022,"tcu","Commit",1
"Rondel Walker",NA,"6-2",160,89,NA,NA,NA,NA,"PG",2022,"tcu","Transfer",1
"Jace Posey","Strake Jesuit College Prep (Houston, TX)","6-4",175,91,96,19,8,"TX","SG",2023,"tcu","Commit",2
"Isaiah Manning","Mansfield Legacy (Mansfield, TX)","6-7",200,87,247,49,20,"TX","PF",2023,"tcu","Commit",2
"Essam Mostafa",NA,"6-9",250,87,NA,NA,NA,NA,"PF",2023,"tcu","Transfer",2
"Ernest Udeh Jr.",NA,"6-10",230,95,NA,NA,NA,NA,"C",2023,"tcu","Transfer",1
"Avery Anderson III",NA,"6-2",170,91,NA,NA,NA,NA,"PG",2023,"tcu","Transfer",2
"Trevian Tennyson",NA,"6-4",180,86,NA,NA,NA,NA,"SG",2023,"tcu","Transfer",1
"Jameer Nelson Jr.",NA,"6-1",200,96,NA,NA,NA,NA,"CG",2023,"tcu","Transfer",1
"Micah Robinson","Oak Hill Academy (Mouth Of Wilson, VA)","6-6",200,90,110,24,5,"VA","PF",2024,"tcu","Commit",2
"David Punch","Harker Heights (Harker Heights, TX)","6-7",205,88,127,26,6,"TX","PF",2024,"tcu","Commit",3
"Malick Diallo","Wasatch Academy (Mount Pleasant, UT)","6-10",215,88,172,35,4,"UT","C",2024,"tcu","Commit",3
"Ashton Simmons","West Brook (Beaumont, TX)","6-2",190,87,NA,34,14,"TX","PG",2024,"tcu","Commit",1
"Vasean Allette",NA,"6-3",180,89,NA,NA,NA,NA,"CG",2024,"tcu","Transfer",1
"Trazarien White",NA,"6-7",190,94,NA,NA,NA,NA,"SF",2024,"tcu","Transfer",1
"RJ Jones",NA,"6-3",190,90,NA,NA,NA,NA,"SG",2024,"tcu","Transfer",2
"Brendan Wenzel",NA,"6-6",180,88,NA,NA,NA,NA,"SG",2024,"tcu","Transfer",3
"Noah Reynolds",NA,"6-3",195,91,NA,NA,NA,NA,"SG",2024,"tcu","Transfer",2
"Frankie Collins",NA,"6-1",185,91,NA,NA,NA,NA,"PG",2024,"tcu","Transfer",2
"Xavier Edmonds","Salt Lake Community College (Salt Lake City, UT)","6-8",220,91,2,1,1,"UT","PF",2025,"tcu","Commit",2
"Kayden Edwards","Duncanville (Duncanville, TX)","6-2",165,94,49,9,4,"TX","SG",2025,"tcu","Commit",1
"Liutauras Lelevicius",NA,"6-7",217,89,NA,NA,NA,NA,"SF",2025,"tcu","Transfer",1
"Tanner Toolson",NA,"6-5",200,87,NA,NA,NA,NA,"SG",2025,"tcu","Transfer",1
"Jayden Pierre",NA,"6-2",185,92,NA,NA,NA,NA,"PG",2025,"tcu","Transfer",1
"Brock Harding",NA,"6-0",155,91,NA,NA,NA,NA,"PG",2025,"tcu","Transfer",2
