"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Shadell Millinghaus","Northwest Florida State College (Niceville, FL)","6-3",210,84,28,6,3,"FL","SG",2016,"texas-tech","Commit",1
"Davide Moretti","Italy (Italy, ITAL)","6-2",0,90,131,7,1,"ITAL","CG",2017,"texas-tech","Commit",1
"Josh Webster","South Plains College (Levelland, TX)","6-4",170,89,16,1,5,"TX","PG",2017,"texas-tech","Commit",3
"Hyron Edwards","Trinity Valley C.C. (Athens, TX)","6-1",175,89,25,5,8,"TX","CG",2017,"texas-tech","Commit",3
"Malik Ondigo","Putnam Science Academy (Putnam, CT)","6-11",0,89,166,16,3,"CT","PF",2017,"texas-tech","Commit",3
"Zhaire Smith","Lakeview Centennial (Garland, TX)","6-5",180,87,222,45,18,"TX","SG",2017,"texas-tech","Commit",3
"Jarrett Culver","Coronado (Lubbock, TX)","6-5",170,87,NA,53,23,"TX","CG",2017,"texas-tech","Commit",3
"Daniel Mading","St Anthony (Jersey City, NJ)","6-9",175,87,NA,30,12,"NJ","SF",2017,"texas-tech","Commit",3
"Khavon Moore","Westside (Macon, GA)","6-8",187,94,64,13,4,"GA","SF",2018,"texas-tech","Commit",1
"Deshawn Corprew","South Plains College (Levelland, TX)","6-5",190,91,2,1,2,"TX","SF",2018,"texas-tech","Commit",1
"Kyler Edwards","Findlay Prep (Henderson, NV)","6-4",195,89,185,38,5,"NV","SG",2018,"texas-tech","Commit",1
"Josh Mballa","Putnam Science Academy (Putnam, CT)","6-8",205,82,NA,80,6,"CT","PF",2018,"texas-tech","Commit",1
"Jahmi'us Ramsey","Duncanville (Duncanville, TX)","6-4",195,97,42,7,5,"TX","CG",2019,"texas-tech","Commit",1
"Terrence Shannon Jr.","IMG Academy (Bradenton, FL)","6-6",185,91,127,28,14,"FL","SF",2019,"texas-tech","Commit",1
"Kevin McCullar","Wagner (San Antonio, TX)","6-6",180,90,135,32,15,"TX","SG",2019,"texas-tech","Commit",1
"Tyreek Smith","Trinity Christian School (Cedar Hill, TX)","6-8",205,89,165,25,16,"TX","PF",2019,"texas-tech","Commit",1
"Clarence Nadolny","Scotland Campus (Scotland, PA)","6-3",190,88,NA,42,12,"PA","CG",2019,"texas-tech","Commit",1
"Russel Tchewa","Putnam Science Academy (Putnam, CT)","7-0",215,87,NA,70,10,"CT","C",2019,"texas-tech","Commit",1
"Andrei Savrasov","Russia (Russia, RUSS)","6-9",215,80,NA,94,1,"RUSS","PF",2019,"texas-tech","Commit",1
"Nimari Burnett","Prolific Prep (Fort Lauderdale, FL)","6-4",190,97,38,8,8,"FL","CG",2020,"texas-tech","Commit",1
"Micah Peavy","Duncanville (Duncanville, TX)","6-7",172,96,66,13,2,"TX","SG",2020,"texas-tech","Commit",1
"Chibuzo Agbo","St. Augustine (San Diego, CA)","6-7",215,95,75,16,10,"CA","SF",2020,"texas-tech","Commit",1
"Vladislav Goldin","Putnam Science Academy (Putnam, CT)","7-1",220,90,164,28,2,"CT","C",2020,"texas-tech","Commit",1
"Esahia Nyiwe","Clarendon (Clarendon, TX)","6-10",210,89,NA,51,13,"TX","PF",2020,"texas-tech","Commit",1
"Jaylon Tyson","John Paul II (Plano, TX)","6-6",185,97,36,8,3,"TX","SF",2021,"texas-tech","Commit",1
"KJ Allen","East Los Angeles College (Monterey Park, CA)","6-6",225,87,11,4,1,"CA","PF",2021,"texas-tech","Commit",1
"Elijah Fisher","Crestwood Prep (Toronto, ON)","6-6",195,95,58,16,2,"ON","SG",2022,"texas-tech","Commit",1
"Pop Isaacs","Coronado (Henderson, NV)","6-2",180,94,67,13,1,"NV","PG",2022,"texas-tech","Commit",1
"Lamar Washington","Compass Prep (Chandler, AZ)","6-4",210,90,111,14,8,"AZ","SG",2022,"texas-tech","Commit",2
"Robert Jennings","Texas Alliance of Christian Athletes (Dallas, TX)","6-7",220,87,227,52,17,"TX","PF",2022,"texas-tech","Commit",1
"D'Maurian Williams",NA,"6-5",195,88,NA,NA,NA,NA,"SG",2022,"texas-tech","Transfer",2
"Jaylon Tyson",NA,"6-6",185,92,NA,NA,NA,NA,"SF",2022,"texas-tech","Transfer",2
"Kerwin Walton",NA,"6-5",205,88,NA,NA,NA,NA,"SF",2022,"texas-tech","Transfer",2
"Fardaws Aimaq",NA,"6-11",245,92,NA,NA,NA,NA,"C",2022,"texas-tech","Transfer",2
"De'Vion Harmon",NA,"6-0",192,90,NA,NA,NA,NA,"PG",2022,"texas-tech","Transfer",2
"Drew Steffe","Memorial (Frisco, TX)","6-5",175,88,192,31,18,"TX","SG",2023,"texas-tech","Commit",1
"Devan Cambridge",NA,"6-6",190,89,NA,NA,NA,NA,"SF",2023,"texas-tech","Transfer",2
"Chance McMillian",NA,"6-2",175,89,NA,NA,NA,NA,"PG",2023,"texas-tech","Transfer",2
"Warren Washington",NA,"6-11",210,90,NA,NA,NA,NA,"PF",2023,"texas-tech","Transfer",1
"Darrion Williams",NA,"6-6",210,91,NA,NA,NA,NA,"PF",2023,"texas-tech","Transfer",2
"KyeRon Lindsay",NA,"6-8",205,91,NA,NA,NA,NA,"PF",2023,"texas-tech","Transfer",2
"Christian Anderson","Oak Hill Academy (Mouth Of Wilson, VA)","5-11",155,90,113,10,6,"VA","PG",2024,"texas-tech","Commit",1
"Leon Horner","Dynamic Prep (Dallas, TX)","6-6",195,86,NA,58,19,"TX","SF",2024,"texas-tech","Commit",1
