"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jayce Johnson","Santa Monica (Santa Monica, CA)","6-11",225,95,51,8,4,"CA","C",2016,"utah","Commit",1
"Devon Daniels","Prolific Prep (Fort Lauderdale, FL)","6-4",185,88,212,37,4,"FL","SG",2016,"utah","Commit",1
"Jojo Zamora","Yuba College (Marysville, CA)","6-3",170,86,16,4,3,"CA","SG",2016,"utah","Commit",1
"Tyler Rawson","Salt Lake Community College (Salt Lake City, UT)","6-10",225,89,12,6,1,"UT","PF",2016,"utah","Commit",1
"Donnie Tillman","Findlay Prep (Henderson, NV)","6-7",225,89,136,35,4,"NV","PF",2017,"utah","Commit",3
"Branden Carlson","Bingham (South Jordan, UT)","6-9",200,89,153,40,2,"UT","PF",2017,"utah","Commit",3
"Vante Hendrix","Birmingham (Van Nuys, CA)","6-5",190,87,NA,54,23,"CA","SG",2017,"utah","Commit",1
"Jaxon Brenchley","Mountain Crest (Hyrum, UT)","6-3",180,86,NA,68,4,"UT","SG",2017,"utah","Commit",1
"Christian Popoola","Bishop Gorman (Las Vegas, NV)","6-3",180,89,157,8,5,"NV","CG",2017,"utah","Commit",3
"Timmy Allen","Red Mountain (Mesa, AZ)","6-6",200,92,101,24,1,"AZ","SF",2018,"utah","Commit",1
"Both Gach","Compass Prep (Chandler, AZ)","6-7",190,90,149,37,2,"AZ","SG",2018,"utah","Commit",1
"Riley Battin","Oak Park (Oak Park, CA)","6-9",220,89,209,31,20,"CA","C",2018,"utah","Commit",1
"Lahat Thioune","Florida Air Academy (Melbourne, FL)","6-11",205,88,NA,55,31,"FL","PF",2018,"utah","Commit",1
"Naseem Gaskin","Bishop O'Dowd (Oakland, CA)","6-3",170,85,NA,85,43,"CA","SG",2018,"utah","Commit",1
"Rylan Jones","Olympus (Salt Lake City, UT)","6-1",165,93,92,9,2,"UT","PG",2019,"utah","Commit",1
"Mikael Jantunen","Helsinki Basketball Academy (Finland, FINL)","6-8",215,89,195,31,1,"FINL","PF",2019,"utah","Commit",1
"Matthew Van Komen","Pleasant Grove (Pleasant Grove, UT)","7-4",220,88,234,41,6,"UT","C",2019,"utah","Commit",1
"Brendan Wenzel","O'Connor (Helotes, TX)","6-6",180,80,NA,90,33,"TX","SG",2019,"utah","Commit",1
"Ian Martinez","JSerra Catholic (San Juan Capistrano, CA)","6-3",170,96,67,10,9,"CA","SG",2020,"utah","Commit",1
"Pelle Larsson","Sweden (Sweden, SWED)","6-5",200,91,126,14,1,"SWED","SG",2020,"utah","Commit",1
"Norbert Thelissen","Netherlands (Netherlands, NETH)","6-7",190,89,NA,55,1,"NETH","SF",2020,"utah","Commit",1
"Mason Falslev","Sky View (Smithfield, UT)","6-3",180,88,NA,53,5,"UT","SG",2020,"utah","Commit",1
"Lazar Stefanovic","Serbia (Serbia, SERB)","6-5",176,86,NA,64,1,"SERB","SG",2021,"utah","Commit",1
"Keba Keita","Wasatch Academy (Mount Pleasant, UT)","6-8",225,89,165,26,4,"UT","C",2022,"utah","Commit",1
"Ben Carlson",NA,"6-9",220,84,NA,NA,NA,NA,"PF",2022,"utah","Transfer",1
"Gavin Baxter",NA,"6-9",230,86,NA,NA,NA,NA,"SF",2022,"utah","Transfer",1
"Mike Saunders",NA,"6-0",165,88,NA,NA,NA,NA,"PG",2022,"utah","Transfer",1
"Jake Wahlin","Timpview (Provo, UT)","6-7",180,89,148,31,3,"UT","PF",2023,"utah","Commit",1
"Deivon Smith",NA,"6-0",176,87,NA,NA,NA,NA,"PG",2023,"utah","Transfer",2
"Lawson Lovering",NA,"7-1",235,87,NA,NA,NA,NA,"C",2023,"utah","Transfer",2
"Ibrahima Traore","West Oaks Academy (Orlando, FL)","6-9",225,88,204,37,19,"FL","C",2024,"utah","Commit",3
"Jaxon Johnson","Alta (Sandy, UT)","6-8",195,90,112,22,2,"UT","PF",2024,"utah","Commit",1
"David Katoa","Utah Prep (Hurricane, UT)","6-4",170,86,NA,43,6,"UT","SG",2024,"utah","Commit",1
"Mike Sharavjamts",NA,"6-8",180,91,NA,NA,NA,NA,"SF",2024,"utah","Transfer",2
"Ezra Ausar",NA,"6-8",247,92,NA,NA,NA,NA,"PF",2024,"utah","Transfer",1
"Miro Little",NA,"6-4",185,91,NA,NA,NA,NA,"PG",2024,"utah","Transfer",2
"Mason Madsen",NA,"6-3",175,88,NA,NA,NA,NA,"CG",2024,"utah","Transfer",3
"Keanu Dawes",NA,"6-9",215,88,NA,NA,NA,NA,"PF",2024,"utah","Transfer",3
"Kendyl Sanders","IMG Academy (Bradenton, FL)","6-6",180,87,NA,61,29,"FL","SF",2025,"utah","Commit",1
"Babacar Faye",NA,"6-8",205,89,NA,NA,NA,NA,"PF",2025,"utah","Transfer",3
"Don McHenry",NA,"6-2",168,91,NA,NA,NA,NA,"SG",2025,"utah","Transfer",1
"Seydou Traore",NA,"6-7",220,89,NA,NA,NA,NA,"PF",2025,"utah","Transfer",3
"Jahki Howard",NA,"6-6",185,92,NA,NA,NA,NA,"SF",2025,"utah","Transfer",2
"Elijah Moore",NA,"6-4",176,92,NA,NA,NA,NA,"SG",2025,"utah","Transfer",2
"James Okonkwo",NA,"6-8",240,86,NA,NA,NA,NA,"PF",2025,"utah","Transfer",1
"Terrence Brown",NA,"6-3",175,89,NA,NA,NA,NA,"CG",2025,"utah","Transfer",3
