"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"N'Keal Harry","Chandler (Chandler, AZ)","6-4",210,94,117,15,1,"AZ","WR",2016,"arizona-state","Commit",1
"Cohl Cabral","Los Osos (Rancho Cucamonga, CA)","6-5",273,92,223,21,32,"CA","OT",2016,"arizona-state","Commit",2
"Chase Lucas","Chandler (Chandler, AZ)","5-11",161,92,227,9,4,"AZ","RB",2016,"arizona-state","Commit",2
"Maurice Chandler","Northeastern Oklahoma A&M (Miami, OK)","6-1",190,91,13,1,1,"OK","CB",2016,"arizona-state","Commit",2
"J'Marcus Rhodes","Kilgore College (Kilgore, TX)","6-2",202,91,14,2,4,"TX","CB",2016,"arizona-state","Commit",2
"Christian Hill","Glendale C.C. (Glendale, AZ)","6-6",265,90,18,3,3,"AZ","SDE",2016,"arizona-state","Commit",1
"Robbie Robinson","DeMatha Catholic (Hyattsville, MD)","5-8",160,89,NA,25,11,"MD","ATH",2016,"arizona-state","Commit",4
"Koron Crump","Fort Scott C.C. (Fort Scott, KS)","6-3",220,89,29,3,6,"KS","WDE",2016,"arizona-state","Commit",4
"Alex Losoya","Orange Coast College (Costa Mesa, CA)","6-4",300,89,30,3,4,"CA","OG",2016,"arizona-state","Commit",4
"Jeremy Smith","Fort Bend Marshall (Missouri City, TX)","6-2",179,87,NA,86,76,"TX","WR",2016,"arizona-state","Commit",2
"Jared Bubak","Lincoln Christian (Lincoln, NE)","6-4",235,87,NA,27,3,"NE","TE",2016,"arizona-state","Commit",2
"Dillon Sterling-Cole","Westfield (Houston, TX)","6-3",200,86,NA,28,102,"TX","DUAL",2016,"arizona-state","Commit",5
"Tre Turner","Holy Cross (New Orleans, LA)","5-10",193,86,NA,47,41,"LA","RB",2016,"arizona-state","Commit",5
"Marshal Nathe","Centennial (Peoria, AZ)","6-3",290,86,NA,37,7,"AZ","OG",2016,"arizona-state","Commit",5
"Kyle Williams","Vista Murrieta (Murrieta, CA)","5-11",175,86,NA,62,76,"CA","ATH",2016,"arizona-state","Commit",5
"Frank Darby","Lincoln (Jersey City, NJ)","6-0",184,86,NA,132,24,"NJ","WR",2016,"arizona-state","Commit",5
