"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Khalil Tate","Junipero Serra (Gardena, CA)","6-2",203,92,233,10,33,"CA","DUAL",2016,"arizona","Commit",2
"Michael Eletise","Kaiser (Honolulu, HI)","6-4",313,92,NA,14,2,"HI","OG",2016,"arizona","Commit",2
"Chacho Ulloa","Centennial (Corona, CA)","6-0",190,89,NA,20,42,"CA","S",2016,"arizona","Commit",1
"Kahi Neves","Bingham (South Jordan, UT)","6-3",238,87,NA,39,5,"UT","ATH",2016,"arizona","Commit",2
"Devaughn Cooper","Narbonne (Harbor City, CA)","5-10.5",171,87,NA,90,57,"CA","WR",2016,"arizona","Commit",2
"Shawn Poindexter","Glendale C.C. (Glendale, AZ)","6-7",215,85,121,20,12,"AZ","WR",2016,"arizona","Commit",1
"Bryson Cain","Great Oak (Temecula, CA)","6-5",265,84,NA,108,107,"CA","OT",2016,"arizona","Commit",4
"Isaiah Hayes","Calabasas (Calabasas, CA)","6-0",175,84,NA,106,109,"CA","CB",2016,"arizona","Commit",4
"Jalen Cochran","Canton (Canton, MI)","6-4",235,84,NA,87,30,"MI","OLB",2016,"arizona","Commit",4
"Jacob Colacion","La Habra (La Habra, CA)","6-1",215,84,NA,92,118,"CA","ILB",2016,"arizona","Commit",4
"Lorenzo Burns","Linfield Christian School (Temecula, CA)","5-10",160,83,NA,126,136,"CA","CB",2016,"arizona","Commit",1
"JJ Taylor","Centennial (Corona, CA)","5-6",155,82,NA,31,157,"CA","APB",2016,"arizona","Commit",1
"Justin Holt","Salpointe Catholic (Tucson, AZ)","6-0",295,81,NA,91,15,"AZ","DT",2016,"arizona","Commit",1
"Tristan Cooper","Andress (El Paso, TX)","6-1",180,80,NA,138,247,"TX","S",2016,"arizona","Commit",1
"Gavin Robertson","Auburn Mountainview (Auburn, WA)","6-2",190,79,NA,147,21,"WA","S",2016,"arizona","Commit",1
"Jarrius Wallace","John Ehret (Marrero, LA)","6-0",185,78,NA,170,108,"LA","S",2016,"arizona","Commit",1
"Francisco Nelson","Kathleen (Lakeland, FL)","6-4",215,76,NA,125,342,"FL","SDE",2016,"arizona","Commit",1
"Russell Halimon","Allatoona (Acworth, GA)","5-10",185,86,NA,51,75,"GA","RB",2016,"arizona","Commit",1
"Nathan Tilford","Colony (Ontario, CA)","6-2",190,92,192,11,21,"CA","ATH",2017,"arizona","Commit",1
"Colin Schooler","Mission Viejo (Mission Viejo, CA)","6-2",215,91,NA,10,30,"CA","ILB",2017,"arizona","Commit",1
"Jalen Harris","Desert Ridge (Mesa, AZ)","6-4",210,88,NA,32,6,"AZ","WR",2017,"arizona","Commit",1
"Bryce Wolma","Saline (Saline, MI)","6-4",235,87,NA,22,16,"MI","TE",2017,"arizona","Commit",2
"Scottie Young Jr.","Helix (La Mesa, CA)","6-0",190,87,NA,43,51,"CA","S",2017,"arizona","Commit",2
"Brian Casteel","Charter Oak (Covina, CA)","6-0",190,86,NA,101,63,"CA","WR",2017,"arizona","Commit",4
"Anthony Pandy","Narbonne (Harbor City, CA)","6-2",220,86,NA,49,66,"CA","WDE",2017,"arizona","Commit",4
"Rhedi Short","Cathedral (Los Angeles, CA)","6-1",185,86,NA,62,67,"CA","S",2017,"arizona","Commit",4
"Malik Hausman","Bishop Gorman (Las Vegas, NV)","5-11",168,86,NA,89,9,"NV","CB",2017,"arizona","Commit",4
"Edgar Burrola","Desert Pines (Las Vegas, NV)","6-6",295,85,NA,83,10,"NV","OT",2017,"arizona","Commit",2
"Tony Fields","Desert Pines (Las Vegas, NV)","6-2",205,85,NA,73,11,"NV","ATH",2017,"arizona","Commit",2
"Tony Wallace","Desert Pines (Las Vegas, NV)","6-0",180,84,NA,112,12,"NV","CB",2017,"arizona","Commit",4
"Bryce Gilbert","Higley (Gilbert, AZ)","6-5",230,84,NA,164,19,"AZ","WR",2017,"arizona","Commit",4
"Drew Dixon","Sabino (Tucson, AZ)","6-4",195,84,NA,87,20,"AZ","ATH",2017,"arizona","Commit",4
"K'hari Lane","Macon County (Montezuma, GA)","6-1",225,84,NA,46,134,"GA","PRO",2017,"arizona","Commit",4
