"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jared Atkinson","Horn (Mesquite, TX)","6-3",199,94,150,26,23,"TX","WR",2016,"baylor","Commit",1
"Tren'Davian Dickson","Navasota (Navasota, TX)","5-11",163,93,159,29,27,"TX","WR",2016,"baylor","Commit",2
"Grayland Arnold","Kountze (Kountze, TX)","5-10",180,93,184,19,29,"TX","CB",2016,"baylor","Commit",2
"Chris Miller","Lone Star (Frisco, TX)","5-11.5",180,91,NA,13,38,"TX","CB",2016,"baylor","Commit",1
"Denzel Mims","Daingerfield (Daingerfield, TX)","6-4",180,90,NA,58,46,"TX","ATH",2016,"baylor","Commit",2
"Zach Smith","Grandview (Grandview, TX)","6-3.5",223,88,NA,16,63,"TX","PRO",2016,"baylor","Commit",1
"Bravvion Roy","Spring High (Spring, TX)","6-2",315,87,NA,44,87,"TX","DT",2016,"baylor","Commit",3
"Deonte Williams","Prestonwood Christian (Plano, TX)","6-1",218,87,NA,45,91,"TX","OLB",2016,"baylor","Commit",3
"Micheal Johnson","Hightower (Missouri City, TX)","6-1.5",245,86,NA,33,99,"TX","SDE",2016,"baylor","Commit",2
"Raleigh Texada","Centennial (Frisco, TX)","5-10",165,85,NA,90,136,"TX","CB",2016,"baylor","Commit",1
"Rajah Preciado","College Station (College Station, TX)","5-9",177,84,NA,107,153,"TX","CB",2016,"baylor","Commit",2
"Thomas Cletcher","Fullerton College (Fullerton, CA)","6-0",225,80,206,9,54,"CA","ILB",2016,"baylor","Commit",1
"Will Jones","Prestonwood Christian (Plano, TX)","6-2",285,78,NA,152,318,"TX","DT",2016,"baylor","Commit",1
"Tyrae Simmons","College of the Sequoias (Visalia, CA)","6-4",300,84,NA,NA,NA,"CA","OG",2016,"baylor","Commit",2
"B.J. Autry","Coffeyville C.C. (Coffeyville, KS)","6-5",320,90,19,1,3,"KS","OT",2016,"baylor","Commit",2
"Jeremy Faulk","Garden City C.C.  (Garden City, KS)","6-3",285,87,54,6,11,"KS","DT",2016,"baylor","Commit",3
"Kenan Ivy","Lancaster (Lancaster, TX)","5-9",180,86,NA,73,113,"TX","S",2016,"baylor","Commit",2
"Xavier Newman","DeSoto (DeSoto, TX)","6-2.5",272,92,229,14,31,"TX","OG",2017,"baylor","Commit",1
"Justin Harris","East Ascension (Gonzales, LA)","6-6",250,91,NA,12,9,"LA","SDE",2017,"baylor","Commit",1
"B.J. Thompson","England (England, AR)","6-7",205,90,NA,17,3,"AR","TE",2017,"baylor","Commit",2
"John Lovett","Cherokee (Marlton, NJ)","6-1",194,90,NA,18,11,"NJ","ATH",2017,"baylor","Commit",2
"RJ Sneed","Cy Ranch (Cypress, TX)","6-2",180,89,NA,44,43,"TX","WR",2017,"baylor","Commit",1
"James Lynch","Round Rock (Round Rock, TX)","6-4.5",285,88,NA,32,51,"TX","SDE",2017,"baylor","Commit",1
"Gavin Holmes","Northwest (Justin, TX)","5-11",178,87,NA,68,68,"TX","WR",2017,"baylor","Commit",5
"Charlie Brewer","Lake Travis (Austin, TX)","6-1",188,87,NA,18,71,"TX","PRO",2017,"baylor","Commit",5
"Khalil Keith","Winterboro (Alpine, AL)","6-5",280,87,NA,55,33,"AL","OT",2017,"baylor","Commit",5
"Trestan Ebner","Henderson (Henderson, TX)","6-0",188,87,NA,45,78,"TX","WR",2017,"baylor","Commit",5
"DeMarco Artis","Seminole (Seminole, FL)","6-3",220,87,NA,48,85,"FL","OLB",2017,"baylor","Commit",5
"Harrison Hand","Cherry Hill West (Cherry Hill, NJ)","5-11.5",183,86,NA,70,19,"NJ","CB",2017,"baylor","Commit",3
"Abram Smith","Abilene (Abilene, TX)","6-0",196,86,NA,39,95,"TX","RB",2017,"baylor","Commit",3
"Timarcus Davis","College Station (College Station, TX)","5-11",165,86,NA,80,109,"TX","CB",2017,"baylor","Commit",3
"Terrel Bernard","La Porte (La Porte, TX)","6-1.5",215,84,NA,78,144,"TX","OLB",2017,"baylor","Commit",3
"Ashton Logan","Temple (Temple, TX)","6-0.5",203,84,NA,88,151,"TX","S",2017,"baylor","Commit",3
"Bryson Jackson","Lake Ridge (Mansfield, TX)","6-2",195,84,NA,87,156,"TX","S",2017,"baylor","Commit",3
"Eleasah Anderson","Alief Taylor (Houston, TX)","6-4",280,83,NA,118,160,"TX","OT",2017,"baylor","Commit",1
"Chidi Ogbonnaya","Langham Creek (Houston, TX)","6-4.5",247,82,NA,76,196,"TX","SDE",2017,"baylor","Commit",2
"Trevon Lewis","Lamar (Houston, TX)","6-0",180,82,NA,125,202,"TX","S",2017,"baylor","Commit",2
"Jalen Pitre","Stafford (Stafford, TX)","6-0",197,81,NA,131,208,"TX","ATH",2017,"baylor","Commit",2
"Jason Moore","Independence (Frisco, TX)","6-3",270,81,NA,89,230,"TX","OG",2017,"baylor","Commit",2
"Cole Maxwell","Allen (Allen, TX)","6-5",230,80,NA,82,232,"TX","SDE",2017,"baylor","Commit",2
"Rob Saulin","Pennsville Memorial (Pennsville, NJ)","6-6",250,80,NA,94,41,"NJ","SDE",2017,"baylor","Commit",2
"Tyler Henderson","Lehman (Kyle, TX)","6-4",225,79,NA,103,289,"TX","TE",2017,"baylor","Commit",1
"Ryan Miller","Southlake Carroll (Southlake, TX)","6-3",270,77,NA,41,364,"TX","OC",2017,"baylor","Commit",1
"Henry Klinge","Southlake Carroll (Southlake, TX)","6-5",295,76,NA,248,390,"TX","OT",2017,"baylor","Commit",1
"Gerry Bohanon","Earle (Earle, AR)","6-3",218,91,NA,8,1,"AR","DUAL",2018,"baylor","Commit",2
"Tyquan Thornton","Booker T. Washington (Miami, FL)","6-3",165,91,NA,44,35,"FL","WR",2018,"baylor","Commit",2
"Kalon Barnes","Silsbee (Silsbee, TX)","5-11",172,90,NA,52,39,"TX","WR",2018,"baylor","Commit",3
"Connor Galvin","Katy (Katy, TX)","6-6",260,90,NA,22,41,"TX","OT",2018,"baylor","Commit",3
"Craig Williams","Crosby (Crosby, TX)","5-9",170,90,NA,10,43,"TX","APB",2018,"baylor","Commit",3
"Johncarlo Valentin","ASA College (New York) (Brooklyn, NY)","6-5",330,88,33,1,3,"NY","OG",2018,"baylor","Commit",1
