"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Troy Warner","Mission Hills (San Marcos, CA)","6-0",185,92,208,20,30,"CA","S",2016,"byu","Commit",1
"Handsome Tanielu","Snow College (Ephraim, UT)","6-2",305,88,37,3,2,"UT","DT",2016,"byu","Commit",1
"Drew Jensen","Brighton (Salt Lake City, UT)","6-1",180,87,NA,46,6,"UT","S",2016,"byu","Commit",2
"Jonah Trinnaman","Snow College (Ephraim, UT)","6-0",185,87,49,9,3,"UT","WR",2016,"byu","Commit",2
"Keenan Pili","Timpview (Provo, UT)","6-2",200,86,NA,59,9,"UT","OLB",2016,"byu","Commit",3
"Max Tooley","Bountiful (Bountiful, UT)","6-1.5",193,86,NA,64,10,"UT","OLB",2016,"byu","Commit",3
"Aleva Hifo","Heritage (Brentwood, CA)","5-10",170,85,NA,92,85,"CA","CB",2016,"byu","Commit",3
"Hank Tuipulotu","Nation Ford (Fort Mill, SC)","6-2",225,85,NA,50,19,"SC","TE",2016,"byu","Commit",3
"Keanu Saleapaga","La Mirada (La Mirada, CA)","6-5",270,85,NA,47,95,"CA","SDE",2016,"byu","Commit",3
"Jaren Hall","Maple Mountain (Spanish Fork, UT)","6-0",185,84,NA,30,19,"UT","DUAL",2016,"byu","Commit",2
"Darius McFarland","Box Elder (Brigham City, UT)","6-2",250,84,NA,53,20,"UT","SDE",2016,"byu","Commit",2
"Alema Pilimai","Tustin (Tustin, CA)","6-4",205,83,NA,102,140,"CA","ATH",2016,"byu","Commit",4
"Sione Finau","Kearns (Salt Lake City, UT)","5-10",170,83,NA,99,23,"UT","RB",2016,"byu","Commit",4
"Solofa Funa","Spanish Fork (Spanish Fork, UT)","6-2",225,83,NA,59,25,"UT","ILB",2016,"byu","Commit",4
"Clark Barrington","University (Spokane, WA)","6-6",265,82,NA,142,16,"WA","OT",2016,"byu","Commit",1
"Caden Haws","Pulaski Academy (Little Rock, AR)","6-2",265,81,NA,16,19,"AR","OC",2016,"byu","Commit",1
"Skyler Southam","Wasatch (Heber City, UT)","5-11.75",188,80,NA,3,28,"UT","K",2016,"byu","Commit",1
"Jackson Kaufusi","Brighton (Salt Lake City, UT)","6-1",200,79,NA,148,29,"UT","OLB",2016,"byu","Commit",1
"Atunaisa Mahe","West Jordan (West Jordan, UT)","6-0",290,78,NA,146,32,"UT","DT",2016,"byu","Commit",3
"JT Gentry","Columbine (Littleton, CO)","6-5",285,78,NA,199,13,"CO","OT",2016,"byu","Commit",3
"Chris Wilcox","Eleanor Roosevelt (Eastvale, CA)","6-2",175,78,NA,179,216,"CA","S",2016,"byu","Commit",3
"Freddy Livai","A.B. Miller (Fontana, CA)","6-2",250,77,NA,113,223,"CA","WDE",2016,"byu","Commit",1
