"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Aaron Dowdell","Creekside (Fairburn, GA)","6-4.5",310,88,NA,25,46,"GA","OG",2016,"central-florida","Commit",1
"Jordan Johnson","Ed White (Jacksonville, FL)","6-3",275,86,NA,40,107,"FL","OG",2016,"central-florida","Commit",1
"Dredrick Snelson","Flanagan (Pembroke Pines, FL)","6-0",198,85,NA,140,121,"FL","WR",2016,"central-florida","Commit",2
"McKenzie Milton","Mililani (Mililani, HI)","5-11",160,85,NA,73,8,"HI","DUAL",2016,"central-florida","Commit",2
"Nathaniel Evans","John Curtis (New Orleans, LA)","6-1",230,84,NA,43,54,"LA","ILB",2016,"central-florida","Commit",4
"Adrian Killins","Mainland (Daytona Beach, FL)","5-8",175,84,NA,82,155,"FL","RB",2016,"central-florida","Commit",4
"Dontay Mayfield","Gulliver Prep (Miami, FL)","6-1",180,84,NA,116,163,"FL","CB",2016,"central-florida","Commit",4
"Joe Sanders","Highland C.C. (Highland, KS)","6-4",260,84,134,8,31,"KS","SDE",2016,"central-florida","Commit",4
"Dedrion Bacote","Ocean Lakes (Virginia Beach, VA)","6-3",225,83,NA,79,45,"VA","WDE",2016,"central-florida","Commit",4
"Eric Mitchell","Miami Central (Miami, FL)","6-1",221,83,NA,82,183,"FL","WDE",2016,"central-florida","Commit",4
"Jaquarius Bargnare","Dr. Phillips (Orlando, FL)","5-10",170,83,NA,27,195,"FL","APB",2016,"central-florida","Commit",4
"Boman Swanson","South Dade (Homestead, FL)","6-4",260,83,NA,130,205,"FL","OT",2016,"central-florida","Commit",4
"Jawon Hamilton","South Dade (Homestead, FL)","5-9",185,82,NA,108,216,"FL","RB",2016,"central-florida","Commit",1
"Bryon Brown","Norland (Miami, FL)","6-1",166,81,NA,148,224,"FL","CB",2016,"central-florida","Commit",1
"Josh Odigie","Orange Coast College (Costa Mesa, CA)","6-4",250,80,198,11,52,"CA","SDE",2016,"central-florida","Commit",1
"Trysten Hill","Suwannee (Live Oak, FL)","6-3",313,79,NA,126,269,"FL","DT",2016,"central-florida","Commit",3
