"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Zach Bycznski","Berea (Berea, OH)","6-3",290,85,NA,8,47,"OH","OC",2016,"cincinnati","Commit",3
"Tyrin Summers","Clewiston (Clewiston, FL)","5-9",160,82,NA,230,218,"FL","WR",2016,"cincinnati","Commit",2
"Bruno Labelle","Cegep Garneau (Quebec City, QC)","6-4",211,78,NA,101,2,"QC","TE",2016,"cincinnati","Commit",3
"Jake Sopko","Avon (Avon, OH)","6-3",200,77,NA,112,105,"OH","PRO",2016,"cincinnati","Commit",2
"Tyquan Statham","West Hall (Oakwood, GA)","6-2",210,87,NA,42,52,"GA","ATH",2016,"cincinnati","Commit",3
"Malick Mbodj","Arabia Mountain (Lithonia, GA)","6-4",188,87,NA,104,55,"GA","WR",2016,"cincinnati","Commit",3
"James Wiggins","South Dade (Homestead, FL)","5-11",180,86,NA,76,109,"FL","CB",2016,"cincinnati","Commit",1
"Gerrid Doaks","Lawrence Central (Indianapolis, IN)","6-0",190,85,NA,68,14,"IN","ATH",2016,"cincinnati","Commit",3
"Perry Young","Spain Park (Hoover, AL)","5-10",185,85,NA,72,39,"AL","S",2016,"cincinnati","Commit",3
"Ty Sponseller","William Mason (Mason, OH)","6-3",195,84,NA,93,60,"OH","OLB",2016,"cincinnati","Commit",2
"Thomas Geddis","Blanche Ely (Pompano Beach, FL)","6-2",160,84,NA,190,169,"FL","WR",2016,"cincinnati","Commit",2
"Jerron Rollins","Columbus (Miami, FL)","6-2",175,82,NA,231,219,"FL","WR",2016,"cincinnati","Commit",2
"Marquis Smith","Ypsilanti (Ypsilanti, MI)","6-0",170,81,NA,119,44,"MI","ATH",2016,"cincinnati","Commit",1
"Kendall Calhoun","Lackawanna College (Scranton, PA)","6-7",290,80,200,21,7,"PA","OT",2016,"cincinnati","Commit",2
"Davin Pierce","Blinn College (Brenham, TX)","6-2",190,80,203,27,19,"TX","CB",2016,"cincinnati","Commit",2
"Michael Pitts","Stephenson (Stone Mountain, GA)","6-2",232,79,NA,119,178,"GA","WDE",2016,"cincinnati","Commit",2
"Devin Gray","Sierra College (Rocklin, CA)","6-1",185,79,228,39,61,"CA","WR",2016,"cincinnati","Commit",2
"Marcel Paul","Cass Technical (Detroit, MI)","6-1",170,78,NA,320,59,"MI","WR",2016,"cincinnati","Commit",3
"Curtis Brooks","George Washington (Danville, VA)","6-3",265,78,NA,112,75,"VA","SDE",2016,"cincinnati","Commit",3
"Elijah Ponder","South Cobb (Avondale Estates, GA)","6-3",255,77,NA,131,210,"GA","WDE",2016,"cincinnati","Commit",2
"Joel Dublanko","IMG Academy (Bradenton, FL)","6-3",227,87,NA,21,74,"FL","ILB",2016,"cincinnati","Commit",3
"Michael Warren","Central Catholic (Toledo, OH)","5-11",200,92,203,13,9,"OH","RB",2017,"cincinnati","Commit",1
"Jarell White","LaSalle  (Cincinnati, OH)","5-10",200,88,NA,24,17,"OH","RB",2017,"cincinnati","Commit",2
"R.J. Potts","Fishers (Fishers, IN)","6-2",199,87,NA,40,4,"IN","S",2017,"cincinnati","Commit",1
"Jaelen Greene","Sandy Creek (Tyrone, GA)","5-10",203,84,NA,64,125,"GA","RB",2017,"cincinnati","Commit",2
"Marquese Taylor","Lovejoy (Hampton, GA)","5-11",177,82,NA,155,154,"GA","CB",2017,"cincinnati","Commit",4
"Wil Huber","Franklin Central (Indianapolis, IN)","6-5",225,82,NA,80,22,"IN","WR",2017,"cincinnati","Commit",4
"Javan Hawes","Sandy Creek (Tyrone, GA)","6-0",183,82,NA,222,169,"GA","WR",2017,"cincinnati","Commit",4
