"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Beau Bisharat","Jesuit (Carmichael, CA)","6-2",210,88,NA,21,44,"CA","RB",2016,"colorado","Commit",1
"Johnny Huntley","South Plantation (Fort Lauderdale, FL)","6-3",207,87,NA,108,89,"FL","WR",2016,"colorado","Commit",2
"Trey Udoffia","Del Oro (Loomis, CA)","6-0",175,87,NA,49,64,"CA","WR",2016,"colorado","Commit",2
"Sam Noyer","Beaverton (Beaverton, OR)","6-4",200,85,NA,26,7,"OR","DUAL",2016,"colorado","Commit",4
"Terriek Roberts","Denver South (Denver, CO)","6-6",265,85,NA,101,4,"CO","OT",2016,"colorado","Commit",4
"Juwann Winfree","Coffeyville C.C. (Coffeyville, KS)","6-2",195,85,108,17,27,"KS","WR",2016,"colorado","Commit",4
"Pookie Maka","Woods Cross (Woods Cross, UT)","6-2.5",202,84,NA,70,17,"UT","WDE",2016,"colorado","Commit",3
"Ronnie Blackmon","Westlake (Atlanta, GA)","5-10",174,84,NA,85,100,"GA","ATH",2016,"colorado","Commit",3
"Tony Julmisse","South Plantation (Fort Lauderdale, FL)","6-1",186,84,NA,84,159,"FL","RB",2016,"colorado","Commit",3
"Akil Jones","Valley Christian (San Jose, CA)","6-1",210,83,NA,109,145,"CA","OLB",2016,"colorado","Commit",1
"Hunter Vaughn","Legend (Parker, CO)","6-8",260,82,NA,143,6,"CO","OT",2016,"colorado","Commit",1
"Derrion Rakestraw","Sequoyah (Canton, GA)","6-2",175,81,NA,239,145,"GA","WR",2016,"colorado","Commit",1
"Kyle Trego","Diablo Valley College (Pleasant Hill, CA)","5-11",180,79,244,11,67,"CA","S",2016,"colorado","Commit",1
"Chance Lytle","Churchill (San Antonio, TX)","6-6",290,78,NA,194,314,"TX","OT",2016,"colorado","Commit",2
"Kabion Ento","East Central C.C. (Decatur, MS)","6-3",180,78,NA,43,43,"MS","WR",2016,"colorado","Commit",2
"Colby Pursell","Hart (Newhall, CA)","6-4",289,77,NA,146,229,"CA","OG",2016,"colorado","Commit",1
"Caron Baham","John Ehret (Marrero, LA)","6-0",190,85,NA,75,51,"LA","ATH",2016,"colorado","Commit",4
"Jake Moretti","Pomona (Arvada, CO)","6-5",285,95,78,10,1,"CO","OT",2017,"colorado","Commit",1
"Jon Van Diest","Cherry Creek (Englewood, CO)","6-1",234,90,NA,21,4,"CO","WDE",2017,"colorado","Commit",3
"Terrance Lang","Maranatha (Pasadena, CA)","6-5",278,90,NA,16,34,"CA","SDE",2017,"colorado","Commit",3
"Grant Polley","Denton (Denton, TX)","6-4",265,87,NA,51,66,"TX","OT",2017,"colorado","Commit",6
"Nate Landman","Monte Vista (Danville, CA)","6-3",205,87,NA,37,44,"CA","OLB",2017,"colorado","Commit",6
"Chris Miller","Denton (Denton, TX)","5-11",173,87,NA,38,70,"TX","S",2017,"colorado","Commit",6
"K.D. Nixon","DeSoto (DeSoto, TX)","5-8",182,87,NA,76,74,"TX","WR",2017,"colorado","Commit",6
"Jared Poplawski","Saguaro (Scottsdale, AZ)","6-4",220,87,NA,28,7,"AZ","TE",2017,"colorado","Commit",6
"Dante Wigley","Holmes C.C. (Goodman, MS)","6-1",185,87,51,4,20,"MS","CB",2017,"colorado","Commit",6
"Jaylon Jackson","Cedar Hill (Cedar Hill, TX)","5-10",164,86,NA,96,101,"TX","WR",2017,"colorado","Commit",5
"Chase Newman","La Mirada (La Mirada, CA)","6-2",210,86,NA,56,71,"CA","OLB",2017,"colorado","Commit",5
"Alex Fontenot","George Ranch (Richmond, TX)","5-11.5",188,86,NA,46,110,"TX","RB",2017,"colorado","Commit",5
"Javier Edwards","Blinn College (Brenham, TX)","6-2",325,86,60,7,6,"TX","DT",2017,"colorado","Commit",5
"Carson Wells","South Sumter (Bushnell, FL)","6-3",220,86,NA,60,113,"FL","WDE",2017,"colorado","Commit",5
"Laviska Shenault","DeSoto (DeSoto, TX)","6-1",203,85,NA,115,114,"TX","WR",2017,"colorado","Commit",5
"Tyler Lytle","Servite (Anaheim, CA)","6-4.5",199,85,NA,35,80,"CA","PRO",2017,"colorado","Commit",5
"Jacob Callier","St. John Bosco (Bellflower, CA)","6-2",250,85,NA,47,83,"CA","SDE",2017,"colorado","Commit",5
"Maurice Bell","Murrieta Valley (Murrieta, CA)","6-0",170,85,NA,127,88,"CA","WR",2017,"colorado","Commit",5
"Will Sherman","Allen (Allen, TX)","6-3",295,84,NA,54,147,"TX","OT",2017,"colorado","Commit",1
"Dante Sparaco","IMG Academy (Bradenton, FL)","6-5",260,83,NA,61,191,"FL","TE",2017,"colorado","Commit",2
"Heston Paige","ThunderRidge (Littleton, CO)","6-5",260,82,NA,138,9,"CO","OT",2017,"colorado","Commit",2
"Isaiah Lewis","Granite Bay (Granite Bay, CA)","6-0",197,82,NA,124,149,"CA","S",2017,"colorado","Commit",2
"Shamar Hamilton","ASA College (Miami) (North Miami Beach, FL)","6-3",230,80,169,13,1,"FL","SDE",2017,"colorado","Commit",2
"Kevin George","Georgia Military (Milledgeville, GA)","6-3",175,80,188,22,4,"GA","CB",2017,"colorado","Commit",2
"Chris Mulumba","Diablo Valley College (Pleasant Hill, CA)","6-4",270,79,215,16,55,"CA","SDE",2017,"colorado","Commit",2
"Brady Russell","Fossil Ridge (Fort Collins, CO)","6-3",240,74,NA,156,23,"CO","SDE",2017,"colorado","Commit",1
"Kanan Ray","Sierra Canyon (Chatsworth, CA)","6-4",275,90,NA,NA,NA,"CA","OG",2017,"colorado","Commit",3
"Casey Roddick","St. Bonaventure (Ventura, CA)","6-3",341,85,NA,43,76,"CA","OG",2017,"colorado","Commit",5
"Sebastian Olver","Marin  Catholic (Kentfield, CA)","6-4",250,83,NA,70,129,"CA","TE",2017,"colorado","Commit",2
"Jalen Sami","Vista Ridge (Colorado Springs, CO)","6-5",330,79,NA,125,12,"CO","DT",2017,"colorado","Commit",2
"Dimitri Stanley","Cherry Creek (Englewood, CO)","6-0",178,92,211,11,1,"CO","WR",2018,"colorado","Commit",1
"Davion Taylor","Coahoma C.C. (Clarksdale, MS)","6-2",215,91,8,1,4,"MS","OLB",2018,"colorado","Commit",1
"Frank Fillip","Clear Lake (Houston, TX)","6-7",280,87,NA,46,76,"TX","OT",2018,"colorado","Commit",2
"Clyde Moore","Corona Del Mar (Newport Beach, CA)","6-0.5",225,87,NA,27,75,"CA","ILB",2018,"colorado","Commit",2
"Daniel Arias","Jackson (Bothell, WA)","6-4",195,85,NA,140,8,"WA","WR",2018,"colorado","Commit",2
"Deion Smith","Second Baptist (Houston, TX)","5-11",177,85,NA,62,117,"TX","RB",2018,"colorado","Commit",2
"Jarek Broussard","Bishop Lynch (Dallas, TX)","5-9",171,84,NA,89,162,"TX","WR",2018,"colorado","Commit",8
"Joshka Gustav","Aquinas (San Bernardino, CA)","6-3",220,84,NA,89,149,"CA","SDE",2018,"colorado","Commit",8
"Tava Finau","Luther Burbank (Sacramento, CA)","6-4",245,84,NA,70,159,"CA","WDE",2018,"colorado","Commit",8
"Blake Stenstrom","Valor Christian (Littleton, CO)","6-2.5",194,84,NA,45,5,"CO","PRO",2018,"colorado","Commit",8
"Israel Antwine","Millwood (Oklahoma City, OK)","6-2.5",286,84,NA,81,17,"OK","WDE",2018,"colorado","Commit",8
"Dylan Thomas","Cathedral (Los Angeles, CA)","6-3",180,84,NA,188,184,"CA","WR",2018,"colorado","Commit",8
"Delrick Abrams Jr.","Independence C.C. (Independence, KS)","6-3",180,84,92,10,18,"KS","CB",2018,"colorado","Commit",8
"Darrion Jones","Los Angeles Harbor College (Wilmington, CA)","6-6",245,84,100,7,17,"CA","TE",2018,"colorado","Commit",8
"Hasaan Hypolite","Hightower (Missouri City, TX)","5-11",195,83,NA,99,168,"TX","ATH",2018,"colorado","Commit",4
"LJ Wallace","Buhach Colony (Atwater, CA)","6-3",185,83,NA,115,192,"CA","S",2018,"colorado","Commit",4
"Ray Robinson","Highlands Ranch (Littleton, CO)","6-2",205,83,NA,117,6,"CO","S",2018,"colorado","Commit",4
"Aaron Maddox","Pima C.C. (Tucson, AZ)","6-1",192,83,127,7,19,"AZ","S",2018,"colorado","Commit",4
"Mustafa Johnson","Modesto J.C. (Modesto, CA)","6-2",285,82,158,30,37,"CA","DT",2018,"colorado","Commit",1
"Mekhi Blackmon","College of San Mateo (San Mateo, CA)","6-0",175,81,187,23,45,"CA","CB",2018,"colorado","Commit",2
"Kary Kutsch","Butte College (Oroville, CA)","6-5",300,81,189,18,46,"CA","OT",2018,"colorado","Commit",2
"Josh Jynes","DeSoto (DeSoto, TX)","6-2",312,79,NA,36,305,"TX","OG",2018,"colorado","Commit",1
"Jake Yurachek","Friendswood (Friendswood, TX)","6-0",212,76,NA,125,411,"TX","ILB",2018,"colorado","Commit",1
"Alex Tchangam","De Anza College (Cupertino, CA)","6-3",250,75,NA,25,114,"CA","WDE",2018,"colorado","Commit",1
"Marvin Ham","Belleville (Belleville, MI)","6-1",217,92,197,12,7,"MI","ILB",2019,"colorado","Commit",1
"Jashua Allen","Arizona Western College (Yuma, AZ)","6-2",225,91,8,2,2,"AZ","ILB",2019,"colorado","Commit",1
"Tarik Luckett","JSerra Catholic (San Juan Capistrano, CA)","6-2.5",184,90,NA,40,40,"CA","WR",2019,"colorado","Commit",2
"Mark Perry","Rancho Cucamonga (Rancho Cucamonga, CA)","6-1",190,90,NA,28,43,"CA","S",2019,"colorado","Commit",2
"KJ Trujillo","Orange Lutheran (Orange, CA)","6-1",170,88,NA,55,75,"CA","CB",2019,"colorado","Commit",1
"Braedin Huffman-Dixon","Mater Dei (Santa Ana, CA)","6-3",180,87,NA,84,90,"CA","WR",2019,"colorado","Commit",3
"Jaren Mangham","Cass Technical (Detroit, MI)","6-1",214,87,NA,44,14,"MI","ATH",2019,"colorado","Commit",3
"La'Vontae Shenault","DeSoto (DeSoto, TX)","6-1",185,87,NA,93,92,"TX","WR",2019,"colorado","Commit",3
"Na'im Rodman","St. John Bosco (Bellflower, CA)","6-2",290,85,NA,73,122,"CA","DT",2019,"colorado","Commit",2
"Austin Johnson","Highlands Ranch (Littleton, CO)","6-4",260,85,NA,53,7,"CO","OG",2019,"colorado","Commit",2
"Joshia Davis","Valor Christian (Littleton, CO)","5-10",180,84,NA,90,9,"CO","RB",2019,"colorado","Commit",5
"Alec Pell","Cherry Creek (Englewood, CO)","6-4",230,84,NA,97,10,"CO","OLB",2019,"colorado","Commit",5
"Jake Wiley","Eaglecrest (Aurora, CO)","6-5",250,84,NA,68,12,"CO","OG",2019,"colorado","Commit",5
"Jeremiah Doss","Hinds C.C. (Raymond, MS)","6-5",250,83,166,14,27,"MS","SDE",2019,"colorado","Commit",3
"Jamar Montgomery","Independence C.C. (Independence, KS)","6-3",225,83,171,7,43,"KS","ILB",2019,"colorado","Commit",3
"Luke Stillwell","Kilgore College (Kilgore, TX)","6-4",227,83,175,7,15,"TX","TE",2019,"colorado","Commit",3
"Jayden Simon","Lincoln (Tacoma, WA)","6-4",280,82,NA,115,23,"WA","DT",2019,"colorado","Commit",6
"D.J. Oats","Grace Preparatory Academy (Arlington, TX)","5-10",180,82,NA,150,219,"TX","RB",2019,"colorado","Commit",6
"Lloyd Murray Jr.","Hirschi (Wichita Falls, TX)","6-2",310,82,NA,121,238,"TX","DT",2019,"colorado","Commit",6
"Austin Williams","Tift County (Tifton, GA)","6-4",288,82,NA,125,174,"GA","DT",2019,"colorado","Commit",6
"Vaatofu Sauvao","Modesto J.C. (Modesto, CA)","6-2",315,82,202,12,41,"CA","OG",2019,"colorado","Commit",6
"Janaz Jordan","Hinds C.C. (Raymond, MS)","6-3",305,82,205,22,39,"MS","DT",2019,"colorado","Commit",6
"Nikko Pohahau","St. Francis (Mountain View, CA)","6-5",260,81,NA,167,228,"CA","OT",2019,"colorado","Commit",1
"Valentin Senn","Austria (Austria, AUST)","6-7",285,80,NA,198,1,"AUST","OT",2019,"colorado","Commit",1
"Quinn Perry","El Camino College (Torrance, CA)","6-1",230,78,NA,17,110,"CA","ILB",2019,"colorado","Commit",1
"Trustin Oliver","Legend (Parker, CO)","6-4",205,84,NA,113,11,"CO","ATH",2019,"colorado","Commit",5
"Jalen Harris",NA,"6-4",250,84,NA,NA,NA,NA,"TE",2019,"colorado","Transfer",5
"Shaadie Clayton-Johnson","Warren Easton (New Orleans, LA)","6-0",200,92,200,17,8,"LA","RB",2020,"colorado","Commit",1
"Christian Gonzalez","The Colony (The Colony, TX)","6-1",193,90,NA,32,44,"TX","S",2020,"colorado","Commit",2
"Jason Harris","Higley (Gilbert, AZ)","6-7",220,90,NA,19,8,"AZ","WDE",2020,"colorado","Commit",2
"Caleb Fauria","Bishop Feehan (Attleboro, MA)","6-5",220,89,NA,15,3,"MA","TE",2020,"colorado","Commit",2
"Brenden Rice","Hamilton (Chandler, AZ)","6-2",204,89,NA,80,10,"AZ","WR",2020,"colorado","Commit",2
