"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Ed Oliver","Westfield (Houston, TX)","6-2",277,98,7,4,2,"TX","DT",2016,"houston","Commit",1
"Tren'Davian Dickson","Navasota (Navasota, TX)","5-11",163,93,159,29,27,"TX","WR",2016,"houston","Commit",1
"D'Eriq King","Manvel (Manvel, TX)","5-9.5",170,88,NA,26,56,"TX","ATH",2016,"houston","Commit",3
"Courtney Lark","Bellaire (Bellaire, TX)","6-1",175,88,NA,81,71,"TX","WR",2016,"houston","Commit",3
"Na'Ty Rodgers","Iowa Western C.C. (Council Bluffs, IA)","6-5",290,88,33,5,2,"IA","OT",2016,"houston","Commit",3
"Patrick Rosette","Foster (Richmond, TX)","5-11.5",187,87,NA,38,81,"TX","S",2016,"houston","Commit",2
"Mulbah Car","Reagan (Austin, TX)","5-10",190,87,NA,37,83,"TX","RB",2016,"houston","Commit",2
"Keenan Murphy","Crosby (Crosby, TX)","6-2",295,86,NA,36,110,"TX","OG",2016,"houston","Commit",3
"Collin Wilder","Katy (Katy, TX)","5-11.5",185,86,NA,58,111,"TX","S",2016,"houston","Commit",3
"Marquez Stevenson","Northwood (Shreveport, LA)","5-11",163,86,NA,134,47,"LA","WR",2016,"houston","Commit",3
"Braylon Jones","John Tyler (Tyler, TX)","6-3",282,85,NA,56,121,"TX","DT",2016,"houston","Commit",2
"Bowman Sells","Lovejoy (Lucas, TX)","6-3",200,85,NA,39,138,"TX","PRO",2016,"houston","Commit",2
"Dixie Wooten III","Lamar (Houston, TX)","6-3",312,83,NA,66,162,"TX","OT",2016,"houston","Commit",3
"Keith Corbin","West Brook (Beaumont, TX)","6-2",175,83,NA,192,163,"TX","WR",2016,"houston","Commit",3
"Ka'Darian Smith","Spring High (Spring, TX)","5-11",170,82,NA,139,188,"TX","CB",2016,"houston","Commit",1
"Javian Smith","Fort Bend Bush (Richmond, TX)","6-1",162,81,NA,153,209,"TX","CB",2016,"houston","Commit",2
"Aymiel Fleming","La Marque (La Marque, TX)","6-2",282,81,NA,98,211,"TX","DT",2016,"houston","Commit",2
"Terrell Williams","Northeastern Oklahoma A&M (Miami, OK)","6-3",210,78,245,12,8,"OK","S",2016,"houston","Commit",1
"Cole McGowan","Magnolia (Magnolia, TX)","5-11",170,77,NA,340,329,"TX","WR",2016,"houston","Commit",1
"Hasaun Glasgow","Manvel (Manvel, TX)","6-3.5",226,83,NA,80,164,"TX","WDE",2016,"houston","Commit",3
"Amaud Willis-Dalton","Cy Ranch (Cypress, TX)","6-0",195,87,NA,43,82,"TX","OLB",2017,"houston","Commit",2
"Jeremy Singleton","Brother Martin (New Orleans, LA)","6-0",170,86,NA,103,34,"LA","WR",2017,"houston","Commit",1
"Alexander Duke","Bellaire (Bellaire, TX)","6-4",235,85,NA,55,122,"TX","WDE",2017,"houston","Commit",4
"Noah Jones","Lancaster (Lancaster, TX)","6-4",235,85,NA,44,125,"TX","SDE",2017,"houston","Commit",4
"David Anenih","Mansfield Timberview (Arlington, TX)","6-3",220,85,NA,64,126,"TX","WDE",2017,"houston","Commit",4
"Derek Parish","Pearland (Pearland, TX)","6-1",256,83,NA,58,168,"TX","ILB",2017,"houston","Commit",3
"Devodric Bynum","Lincoln (Dallas, TX)","5-10.5",167,83,NA,184,170,"TX","WR",2017,"houston","Commit",3
"Parker Eichenberger","Katy (Katy, TX)","6-4",225,83,NA,64,173,"TX","TE",2017,"houston","Commit",3
"Dennis Bardwell","Hargrave (Huffman, TX)","6-5.5",276,81,NA,144,207,"TX","OT",2017,"houston","Commit",4
