"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Skylar Thompson","Fort Osage (Independence, MO)","6-2",195,92,NA,6,2,"MO","DUAL",2016,"kansas-state","Commit",1
"Corey Sutton","Mallard Creek (Charlotte, NC)","6-2",197,87,NA,111,31,"NC","WR",2016,"kansas-state","Commit",2
"Breontae Matthews","Fullerton College (Fullerton, CA)","6-6",315,87,59,6,11,"CA","OT",2016,"kansas-state","Commit",2
"Byron Pringle","Butler C.C. (El Dorado, KS)","6-2",212,86,78,12,17,"KS","WR",2016,"kansas-state","Commit",1
"D.J. Render","North Cobb (Kennesaw, GA)","5-11",170,85,NA,158,96,"GA","WR",2016,"kansas-state","Commit",2
"Mike McCoy","Topeka (Topeka, KS)","6-2",215,85,NA,68,5,"KS","RB",2016,"kansas-state","Commit",2
"Nick Lenners","Southwest (Lincoln, NE)","6-3.5",240,83,NA,63,4,"NE","TE",2016,"kansas-state","Commit",2
"Jordon Robertson","Bishop Dunne (Dallas, TX)","6-3.5",254,83,NA,67,171,"TX","SDE",2016,"kansas-state","Commit",2
"Abdul Beecham","Blinn College (Brenham, TX)","6-3",285,82,167,10,12,"TX","OG",2016,"kansas-state","Commit",2
"Bronson Massie","Lufkin (Lufkin, TX)","6-2.5",211,81,NA,101,206,"TX","WDE",2016,"kansas-state","Commit",2
"Ray Price","Cerritos College (Norwalk, CA)","6-1",290,81,186,19,50,"CA","DT",2016,"kansas-state","Commit",2
"Mason Barta","Holton (Holton, KS)","6-2",205,79,NA,90,7,"KS","ILB",2016,"kansas-state","Commit",2
"A.J. Parker","Bartlesville (Bartlesville, OK)","6-0",160,79,NA,197,28,"OK","CB",2016,"kansas-state","Commit",2
"Isaiah Harris","All Saints Episcopal (Fort Worth, TX)","5-8.5",165,78,NA,310,306,"TX","WR",2016,"kansas-state","Commit",4
"Ian Rudzik","Ulysses (Ulysses, KS)","6-1",225,78,NA,105,9,"KS","ILB",2016,"kansas-state","Commit",4
"Tom Killilea","St. Thomas Aquinas (Lenexa, KS)","6-6",270,78,NA,196,10,"KS","OT",2016,"kansas-state","Commit",4
"Kaelin Key","Bishop Miege (Mission, KS)","6-0",254,78,NA,149,12,"KS","DT",2016,"kansas-state","Commit",4
"Devin Anctil","Olathe Northwest (Olathe, KS)","6-1",234,70,NA,NA,NA,"KS","P",2016,"kansas-state","Commit",1
"Blake Hickey","Godley (Godley, TX)","6-4",285,82,NA,81,186,"TX","OG",2016,"kansas-state","Commit",2
"Jimmy McKinney","Oologah (Oologah, OK)","6-1",225,80,NA,75,23,"OK","ILB",2016,"kansas-state","Commit",1
"Trace Kochevar","Salina South (Salina, KS)","6-6",230,74,NA,135,14,"KS","TE",2016,"kansas-state","Commit",1
"Anthony Payne","Raymore-Peculiar (Peculiar, MO)","6-3",250,90,NA,13,1,"MO","SDE",2017,"kansas-state","Commit",1
"Hunter Rison","Skyline (Ann Arbor, MI)","5-11",197,88,NA,50,11,"MI","WR",2017,"kansas-state","Commit",2
"Daniel Green","Madison (Portland, OR)","6-3",230,88,NA,25,5,"OR","ILB",2017,"kansas-state","Commit",2
"Eli Huggins","West Forsyth (Cumming, GA)","6-4",270,87,NA,21,53,"GA","SDE",2017,"kansas-state","Commit",3
"Joshua Brown","Langston Hughes (Fairburn, GA)","6-0",190,87,NA,50,59,"GA","S",2017,"kansas-state","Commit",3
"Josh Rivas","Hutchinson (Hutchinson, KS)","6-6",335,87,NA,63,3,"KS","OT",2017,"kansas-state","Commit",3
"Wyatt Hubert","Shawnee Heights (Tecumseh, KS)","6-3",240,85,NA,46,5,"KS","SDE",2017,"kansas-state","Commit",2
"Eli Walker","Cerritos College (Norwalk, CA)","6-2",195,84,98,7,18,"CA","S",2017,"kansas-state","Commit",2
"Ben Adler","Trinity Academy (Wichita, KS)","6-4",310,82,NA,81,7,"KS","OG",2017,"kansas-state","Commit",2
"Gervarrius Owens","Southmoore (Moore, OK)","6-1",190,82,NA,121,21,"OK","S",2017,"kansas-state","Commit",2
"Isaiah Stewart","DeSoto (DeSoto, TX)","5-11.5",183,81,NA,128,206,"TX","S",2017,"kansas-state","Commit",3
"Harrison Creed","Ulysses (Ulysses, KS)","6-5",310,80,NA,160,9,"KS","OT",2017,"kansas-state","Commit",3
"Spencer Misko","Keller (Keller, TX)","6-4.5",224,80,NA,88,255,"TX","SDE",2017,"kansas-state","Commit",3
"Da'Quan Patton","Trinity Valley C.C. (Athens, TX)","6-2",210,80,167,9,14,"TX","OLB",2017,"kansas-state","Commit",3
"Bernard Goodwater","Carter (Dallas, TX)","5-7",170,79,NA,37,279,"TX","APB",2017,"kansas-state","Commit",3
"Drew Wiley","Vinton-Shellsburg (Vinton, IA)","6-4",290,79,NA,121,18,"IA","DT",2017,"kansas-state","Commit",3
"Sammy Wheeler","St. James Academy (Lenexa, KS)","6-3",185,79,NA,88,12,"KS","PRO",2017,"kansas-state","Commit",3
"Chabastin Taylor","Giddings (Giddings, TX)","6-4",208,78,NA,337,314,"TX","WR",2017,"kansas-state","Commit",2
"Bill Kuduk","Marist (Chicago, IL)","6-5",278,76,NA,240,73,"IL","OT",2017,"kansas-state","Commit",1
"Danny Walker","Wheaton North (Wheaton, IL)","6-3",215,85,NA,73,19,"IL","WR",2017,"kansas-state","Commit",2
"Xavier Davis","Pima C.C. (Tucson, AZ)","6-6",235,81,146,13,15,"AZ","WDE",2017,"kansas-state","Commit",3
"Antonio Oliver","Grovetown (Grovetown, GA)","6-0",185,84,NA,139,132,"GA","CB",2017,"kansas-state","Commit",2
"Tancey Richardson","South Aiken (Aiken, SC)","6-0",190,81,NA,119,27,"SC","ATH",2017,"kansas-state","Commit",3
"Aidan Mills","Newton Sr (Newton, KS)","6-5.5",259,78,NA,207,15,"KS","OT",2017,"kansas-state","Commit",2
"John Holcombe","Summer Creek (Humble, TX)","6-4",227,89,NA,14,65,"TX","DUAL",2018,"kansas-state","Commit",1
"Lance Robinson","De La Salle (New Orleans, LA)","5-10",181,87,NA,45,30,"LA","S",2018,"kansas-state","Commit",2
"Wayne Jones","Owasso (Owasso, OK)","6-0",193,87,NA,47,12,"OK","S",2018,"kansas-state","Commit",2
"KT Leveston Jr.","Midway (Waco, TX)","6-5",290,86,NA,59,104,"TX","OT",2018,"kansas-state","Commit",2
