"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Charles Baldwin","ASA College (New York) (Brooklyn, NY)","6-5",315,94,2,1,1,"NY","OT",2016,"kansas","Commit",1
"Maciah Long","North Shore (Houston, TX)","6-2",215,88,NA,13,53,"TX","ILB",2016,"kansas","Commit",2
"Mike Lee","Landry-Walker (New Orleans, LA)","5-10.5",165,88,NA,50,31,"LA","CB",2016,"kansas","Commit",2
"Chris Hughes","Harker Heights (Harker Heights, TX)","6-3.5",259,87,NA,54,84,"TX","OT",2016,"kansas","Commit",1
"Isaiah Bean","Summer Creek (Humble, TX)","6-4",210,86,NA,50,108,"TX","WDE",2016,"kansas","Commit",1
"Khalil Herbert","American Heritage (Fort Lauderdale, FL)","5-10",195,83,NA,87,179,"FL","RB",2016,"kansas","Commit",3
"Antione Frazier","Hargrave (Huffman, TX)","6-5",250,83,NA,121,168,"TX","OT",2016,"kansas","Commit",3
"Hunter Harris","Aledo (Aledo, TX)","6-3",255,83,NA,12,174,"TX","OC",2016,"kansas","Commit",3
"Ian Peterson","Cedar Ridge (Round Rock, TX)","5-11",175,82,NA,113,193,"TX","S",2016,"kansas","Commit",4
"Evan Fairs","Foster (Richmond, TX)","6-2",180,82,NA,223,194,"TX","WR",2016,"kansas","Commit",4
"Kyle Mayberry","Booker T. Washington (Tulsa, OK)","5-10.5",165,82,NA,143,20,"OK","CB",2016,"kansas","Commit",4
"DeeIsaac Davis","Highland C.C. (Highland, KS)","6-4",288,82,166,18,36,"KS","DT",2016,"kansas","Commit",4
"Tyriek Starks","Warren Easton (New Orleans, LA)","6-2",185,80,NA,39,85,"LA","DUAL",2016,"kansas","Commit",2
"Julian Chandler","Hightower (Missouri City, TX)","5-11.5",163,80,NA,169,238,"TX","CB",2016,"kansas","Commit",2
"Isi Holani","Riverside C.C. (Riverside, CA)","6-3",310,79,226,26,60,"CA","DT",2016,"kansas","Commit",2
"Cam Durley","Fort Bend Christian Academy (Sugar Land, TX)","6-6",275,79,NA,179,281,"TX","OT",2016,"kansas","Commit",2
"Malik Clark","Warren Easton (New Orleans, LA)","6-5",310,78,NA,184,96,"LA","OT",2016,"kansas","Commit",3
"Bryce Torneden","Lawrence Free State (Lawrence, KS)","5-10",181,78,NA,221,11,"KS","CB",2016,"kansas","Commit",3
"Lucas Jacobs","Cabell Midland (Ona, WV)","6-2",295,77,NA,145,8,"WV","OG",2016,"kansas","Commit",1
