"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Calvin Bundage","Santa Fe (Edmond, OK)","6-3",200,89,NA,28,3,"OK","S",2016,"oklahoma-state","Commit",1
"Madre Harper","Lamar (Arlington, TX)","6-1.5",167,88,NA,47,67,"TX","CB",2016,"oklahoma-state","Commit",2
"Tyrell Alexander","Lancaster (Lancaster, TX)","6-3",190,88,NA,36,68,"TX","WR",2016,"oklahoma-state","Commit",2
"Keondre Wudtee","Parkway (Bossier City, LA)","6-4",181,87,NA,21,33,"LA","PRO",2016,"oklahoma-state","Commit",4
"Rodarius Williams","Calvary Baptist Academy (Shreveport, LA)","6-0",171,87,NA,65,36,"LA","CB",2016,"oklahoma-state","Commit",4
"Dillon Stoner","Jenks (Jenks, OK)","5-11",180,87,NA,51,7,"OK","S",2016,"oklahoma-state","Commit",4
"Tralund Webber","Blinn College (Brenham, TX)","6-4",245,87,46,4,5,"TX","WDE",2016,"oklahoma-state","Commit",4
"Devin Harper","Karns (Knoxville, TN)","6-1",210,86,NA,55,20,"TN","ATH",2016,"oklahoma-state","Commit",2
"AJ Green","DeSoto (DeSoto, TX)","6-1",170,86,NA,80,118,"TX","CB",2016,"oklahoma-state","Commit",2
"Cameron Murray","Bryant (Bryant, AR)","6-2",280,85,NA,55,10,"AR","DT",2016,"oklahoma-state","Commit",3
"Larry Williams","Hutchinson C.C. (Hutchinson, KS)","6-4",310,85,104,6,24,"KS","OG",2016,"oklahoma-state","Commit",3
"Matt Kegel","Chaska (Chaska, MN)","6-5.5",303,84,NA,55,11,"MN","OT",2016,"oklahoma-state","Commit",2
"Teven Jenkins","Topeka (Topeka, KS)","6-6",295,84,NA,112,6,"KS","OT",2016,"oklahoma-state","Commit",2
"LD Brown","DeSoto (DeSoto, TX)","5-8",170,83,NA,28,178,"TX","APB",2016,"oklahoma-state","Commit",2
"Tyler Brown","Lexington (Lexington, OK)","6-5",325,83,NA,76,18,"OK","OG",2016,"oklahoma-state","Commit",2
"Justice Hill","Booker T. Washington (Tulsa, OK)","5-9.5",180,82,NA,30,19,"OK","RB",2016,"oklahoma-state","Commit",1
"Shane Richards","New Mexico Military Institute (Roswell, NM)","6-6",325,81,188,19,1,"NM","OT",2016,"oklahoma-state","Commit",1
"Amen Ogbongbemiga","Notre Dame High School (Calgary, AB)","6-0",211,80,NA,130,1,"AB","OLB",2016,"oklahoma-state","Commit",1
"Malik Kearse","Fort Scott C.C. (Fort Scott, KS)","5-9",160,79,213,28,42,"KS","CB",2016,"oklahoma-state","Commit",2
"Dylan Galloway","Coppell (Coppell, TX)","6-5",270,79,NA,169,266,"TX","OT",2016,"oklahoma-state","Commit",2
"Tramonda Moore","John Marshall (Oklahoma City, OK)","6-6",330,95,105,13,1,"OK","OT",2016,"oklahoma-state","Commit",1
"Dequinton Osborne","Kilgore College (Kilgore, TX)","6-0",310,85,106,14,7,"TX","DT",2016,"oklahoma-state","Commit",3
"Tylan Wallace","South Hills (Fort Worth, TX)","5-11.5",179,94,125,21,18,"TX","WR",2017,"oklahoma-state","Commit",1
"Chuba Hubbard","Bev Facey (Sherwood Park, AB)","6-1",190,92,184,10,1,"AB","RB",2017,"oklahoma-state","Commit",1
"L.C. Greenwood","Lakeview Centennial (Garland, TX)","6-3",195,90,NA,39,38,"TX","WR",2017,"oklahoma-state","Commit",1
"Tracin Wallace","South Hills (Fort Worth, TX)","6-1",170,88,NA,32,56,"TX","DUAL",2017,"oklahoma-state","Commit",1
"Lamarcus Morton","Gilmer (Gilmer, TX)","6-0",175,87,NA,69,69,"TX","ATH",2017,"oklahoma-state","Commit",1
"Patrick Macon","Arizona Western College (Yuma, AZ)","6-3",235,86,55,6,8,"AZ","ILB",2017,"oklahoma-state","Commit",5
"Jelani Woods","Cedar Grove (Ellenwood, GA)","6-7",230,86,NA,32,69,"GA","PRO",2017,"oklahoma-state","Commit",5
"Brendon Evers","Bixby (Bixby, OK)","6-3",285,86,NA,54,13,"OK","DT",2017,"oklahoma-state","Commit",5
"JD King","Fitzgerald (Fitzgerald, GA)","5-11",205,86,NA,47,84,"GA","RB",2017,"oklahoma-state","Commit",5
"Kris McCune","Dallas Christian School (Mesquite, TX)","6-1",195,86,NA,65,112,"TX","S",2017,"oklahoma-state","Commit",5
"Brendan Vaughn","Forney (Forney, TX)","6-1",207,85,NA,64,121,"TX","OLB",2017,"oklahoma-state","Commit",1
