"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Sewo Olonilua","Kingwood (Humble, TX)","6-2.5",217,95,85,4,13,"TX","ATH",2016,"tcu","Commit",1
"Ross Blacklock","Elkins (Missouri City, TX)","6-4",326,94,140,18,22,"TX","DT",2016,"tcu","Commit",2
"Isaiah Chambers","Aldine MacArthur (Houston, TX)","6-3.5",258,94,155,12,25,"TX","SDE",2016,"tcu","Commit",2
"Austin Myers","Manvel (Manvel, TX)","6-5",295,93,195,20,31,"TX","OT",2016,"tcu","Commit",2
"Taj Williams","Iowa Western C.C. (Council Bluffs, IA)","6-3",180,93,6,1,1,"IA","WR",2016,"tcu","Commit",2
"Innis Gaines","West Brook (Beaumont, TX)","6-2",190,92,212,9,34,"TX","S",2016,"tcu","Commit",3
"Brandon Bowen","Byron Nelson (Trophy Club, TX)","6-5",227,92,NA,19,37,"TX","WR",2016,"tcu","Commit",3
"Isaiah Graham","Bastrop (Bastrop, LA)","6-1",185,91,NA,46,17,"LA","WR",2016,"tcu","Commit",2
"Tyree Horton","Highland C.C. (Highland, KS)","6-0",225,91,10,1,2,"KS","OLB",2016,"tcu","Commit",2
"Darius Anderson","George Ranch (Richmond, TX)","5-11",196,90,NA,11,44,"TX","RB",2016,"tcu","Commit",1
"KeShawn Somerville","Hendrickson (Pflugerville, TX)","5-10",170,88,NA,44,64,"TX","ATH",2016,"tcu","Commit",1
"Markell Simmons","Pima C.C. (Tucson, AZ)","6-1",190,87,41,4,5,"AZ","CB",2016,"tcu","Commit",2
"Camron Williams","Skyline (Dallas, TX)","6-3",210,87,NA,96,85,"TX","ATH",2016,"tcu","Commit",2
"Brennen Wooten","Central (San Angelo, TX)","6-1.5",191,86,NA,30,104,"TX","PRO",2016,"tcu","Commit",5
"Vernon Scott","Mansfield Summit (Arlington, TX)","6-2",200,86,NA,57,106,"TX","CB",2016,"tcu","Commit",5
"Dylan Thomas","Paschal (Fort Worth, TX)","6-1",186,86,NA,57,112,"TX","ATH",2016,"tcu","Commit",5
"Lucas Niang","New Canaan (New Canaan, CT)","6-6",295,86,NA,74,5,"CT","OT",2016,"tcu","Commit",5
"Mat Boesen","Long Beach City College (Long Beach, CA)","6-3",235,86,68,7,15,"CA","WDE",2016,"tcu","Commit",5
"Chris Gaynor","Dodge City C.C. (Dodge City, KS)","6-5",290,85,105,11,25,"KS","OT",2016,"tcu","Commit",1
"Kellton Hollins","Zachary (Zachary, LA)","6-3",298,84,NA,11,62,"LA","OC",2016,"tcu","Commit",2
"Artayvious Lynn","Milford Academy (New Berlin, NY)","6-6",235,84,5,2,3,"NY","WR",2016,"tcu","Commit",2
"Gary Overshown","Horn (Mesquite, TX)","6-5",241,81,NA,103,222,"TX","WDE",2016,"tcu","Commit",1
"Ryan Parker","Tyler J.C.  (Tyler, TX)","6-2",180,92,8,2,2,"TX","WR",2016,"tcu","Commit",3
"Jalen Reagor","Waxahachie (Waxahachie, TX)","5-11",185,96,69,11,8,"TX","WR",2017,"tcu","Commit",1
"Wes Harris","Aledo (Aledo, TX)","6-4",290,93,143,11,21,"TX","OG",2017,"tcu","Commit",1
"Corey Bethley","Katy (Katy, TX)","6-2",302,91,NA,18,34,"TX","SDE",2017,"tcu","Commit",2
"Shawn Robinson","DeSoto (DeSoto, TX)","6-2",215,91,NA,6,35,"TX","DUAL",2017,"tcu","Commit",2
"Omar Manning","Lancaster (Lancaster, TX)","6-2",214,89,NA,46,46,"TX","WR",2017,"tcu","Commit",1
"Lakendrick Van Zandt","Henderson (Henderson, TX)","6-1",200,87,NA,39,72,"TX","S",2017,"tcu","Commit",3
"Dennis Collins","West Monroe (West Monroe, LA)","6-2",248,87,NA,35,24,"LA","SDE",2017,"tcu","Commit",3
"Michael Onyemaobi","Chaparral (Temecula, CA)","6-1",187,87,NA,47,57,"CA","ATH",2017,"tcu","Commit",3
"Al'dontre Davis","Lutcher (Lutcher, LA)","6-0",190,86,NA,104,35,"LA","WR",2017,"tcu","Commit",3
"Garret Wallow","John Curtis (New Orleans, LA)","6-2",215,86,NA,64,38,"LA","S",2017,"tcu","Commit",3
"Kenedy Snell","Waxahachie (Waxahachie, TX)","5-8",170,86,NA,114,111,"TX","WR",2017,"tcu","Commit",3
"Noah Daniels","Clear Creek (League City, TX)","6-0",195,85,NA,97,120,"TX","CB",2017,"tcu","Commit",1
"Quazzel White","Lincoln (Tacoma, WA)","6-3.5",305,83,NA,74,14,"WA","OG",2017,"tcu","Commit",3
"Keenan Reed","Northeastern Oklahoma A&M (Miami, OK)","5-11",180,83,132,15,3,"OK","CB",2017,"tcu","Commit",3
"Michael Epley","Tyler J.C.  (Tyler, TX)","6-3",255,83,134,11,11,"TX","WDE",2017,"tcu","Commit",3
"Terrell Cooper","Lindale (Lindale, TX)","6-2",258,82,NA,77,203,"TX","DT",2017,"tcu","Commit",1
"George Ellis III","American Heritage (Fort Lauderdale, FL)","6-2",290,80,NA,103,278,"FL","DT",2017,"tcu","Commit",4
"Alex Bush","Cerritos College (Norwalk, CA)","6-2",230,80,172,10,40,"CA","ILB",2017,"tcu","Commit",4
"Kerry Johnson","Westfield (Houston, TX)","6-1",180,80,NA,160,271,"TX","S",2017,"tcu","Commit",4
"Christian Williams","Fullerton College (Fullerton, CA)","6-4",230,80,185,5,45,"CA","TE",2017,"tcu","Commit",4
"Nijeel Meeking","Union Parish (Farmerville, LA)","6-3",205,79,NA,163,90,"LA","ATH",2017,"tcu","Commit",1
"Ezra Tu'ua","Los Angeles Harbor College (Wilmington, CA)","6-2",315,78,244,24,62,"CA","DT",2017,"tcu","Commit",1
"Coy McMillon","Abilene (Abilene, TX)","6-4",270,77,NA,122,344,"TX","TE",2017,"tcu","Commit",1
"Justin Rogers","Parkway (Bossier City, LA)","6-4",210,96,52,2,3,"LA","DUAL",2018,"tcu","Commit",1
"Tevailance Hunt","Texas High (Texarkana, TX)","6-2",185,93,166,23,15,"TX","WR",2018,"tcu","Commit",1
"Trevon Moehrig","Smithson Valley (Spring Branch, TX)","6-2",190,92,199,18,23,"TX","CB",2018,"tcu","Commit",1
"Atanza Vongor","South Grand Prairie (Grand Prairie, TX)","6-1",200,91,NA,21,30,"TX","S",2018,"tcu","Commit",1
"Ben Wilson","Sumner (Sumner, WA)","6-2",220,90,NA,19,5,"WA","ILB",2018,"tcu","Commit",1
