"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Derrick Willies","Trinity Valley C.C. (Athens, TX)","6-4",205,91,11,4,3,"TX","WR",2016,"texas-tech","Commit",1
"T.J. Vasher","Rider (Wichita Falls, TX)","6-5",180,88,NA,76,65,"TX","WR",2016,"texas-tech","Commit",1
"Desmon Smith","Permian (Odessa, TX)","6-2",191,87,NA,53,80,"TX","CB",2016,"texas-tech","Commit",3
"Jordyn Brooks","Stratford (Houston, TX)","6-0",223,87,NA,43,82,"TX","OLB",2016,"texas-tech","Commit",3
"Da'Leon Ward","Skyline (Dallas, TX)","5-11",180,87,NA,38,86,"TX","RB",2016,"texas-tech","Commit",3
"Damarcus Fields","Taylor (Taylor, TX)","6-0",180,86,NA,70,105,"TX","CB",2016,"texas-tech","Commit",4
"Kevin Moore","Acadiana (Lafayette, LA)","5-11.5",188,86,NA,59,44,"LA","S",2016,"texas-tech","Commit",4
"Jett Duffey","Lake Ridge (Mansfield, TX)","6-0",171,86,NA,20,116,"TX","DUAL",2016,"texas-tech","Commit",4
"Zach Adams","Riverbend (Fredericksburg, VA)","6-7",310,86,NA,75,28,"VA","OT",2016,"texas-tech","Commit",4
"Nick McCann","Arkansas (Texarkana, AR)","6-2",290,85,NA,61,11,"AR","DT",2016,"texas-tech","Commit",3
"De'Quan Bowman","Hutchinson C.C. (Hutchinson, KS)","5-11",180,85,94,14,20,"KS","WR",2016,"texas-tech","Commit",3
"Houston Miller","Keller (Keller, TX)","6-3",237,84,NA,69,146,"TX","WDE",2016,"texas-tech","Commit",6
"Johnathan Picone","Mandeville (Mandeville, LA)","6-1",212,84,NA,84,56,"LA","OLB",2016,"texas-tech","Commit",6
"Brayden Stringer","Cy Ranch (Cypress, TX)","6-2",200,84,NA,54,154,"TX","ILB",2016,"texas-tech","Commit",6
"Noah Jones","Southmoore (Moore, OK)","6-5",255,84,NA,56,15,"OK","SDE",2016,"texas-tech","Commit",6
"Antoine Wesley","Steele (Cibolo, TX)","6-4",180,84,NA,178,156,"TX","WR",2016,"texas-tech","Commit",6
"Mych Thomas","Butler C.C. (El Dorado, KS)","6-1",324,84,127,15,30,"KS","DT",2016,"texas-tech","Commit",6
"Clarence Henderson","Skyline (Dallas, TX)","6-1",234,83,NA,67,165,"TX","OG",2016,"texas-tech","Commit",3
"Gio Pancotti","Episcopal (Bellaire, TX)","6-6",277,83,NA,74,170,"TX","OG",2016,"texas-tech","Commit",3
"Ivory Jackson","Amarillo (Amarillo, TX)","6-3",275,83,NA,83,176,"TX","DT",2016,"texas-tech","Commit",3
"Douglas Coleman","Zachary (Zachary, LA)","6-1",175,82,NA,214,73,"LA","WR",2016,"texas-tech","Commit",1
"Joseph Wallace","Skyline (Dallas, TX)","6-0",333,80,NA,107,230,"TX","DT",2016,"texas-tech","Commit",1
