"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Leki Fotu","Herriman (Herriman, UT)","6-6",255,96,58,5,1,"UT","SDE",2016,"utah","Commit",1
"Garett Bolles","Snow College (Ephraim, UT)","6-5",290,94,3,2,1,"UT","OT",2016,"utah","Commit",1
"Maxs Tupai","Murray (Salt Lake City, UT)","6-2",255,90,NA,24,3,"UT","WDE",2016,"utah","Commit",1
"David Luafatasaga","Arizona Western College (Yuma, AZ)","6-3",225,89,24,3,4,"AZ","OLB",2016,"utah","Commit",2
"Alec Dana","Chaffey College (Rancho Cucamonga, CA)","6-3",190,89,25,5,2,"CA","WR",2016,"utah","Commit",2
"Davir Hamilton","Verbum Dei (Los Angeles, CA)","6-3",200,88,NA,35,49,"CA","WR",2016,"utah","Commit",3
"Fua Pututau","Cottonwood (Salt Lake City, UT)","6-3",231,88,NA,36,4,"UT","WDE",2016,"utah","Commit",3
"Troy Williams","Santa Monica College (Santa Monica, CA)","6-2",210,88,35,1,6,"CA","PRO",2016,"utah","Commit",3
"Tyler Huntley","Hallandale (Hallandale, FL)","6-2",200,87,NA,20,69,"FL","PRO",2016,"utah","Commit",1
"Julian Blackmon","Layton (Layton, UT)","6-1",175,86,NA,64,11,"UT","ATH",2016,"utah","Commit",2
"Demari Simpkins","Hallandale (Hallandale, FL)","6-0",176,85,NA,145,125,"FL","WR",2016,"utah","Commit",5
"Tucker Scott","San Clemente (San Clemente, CA)","6-5",260,85,NA,97,88,"CA","OT",2016,"utah","Commit",5
"Nygel King","Klein Oak (Spring, TX)","6-1",175,85,NA,95,142,"TX","CB",2016,"utah","Commit",5
"Donavan Thompson","Miami Central (Miami, FL)","5-10",211,85,NA,76,137,"FL","OLB",2016,"utah","Commit",5
"Cole Fotheringham","San Clemente (San Clemente, CA)","6-5",215,84,NA,58,115,"CA","ATH",2016,"utah","Commit",3
"Samson Nacua","Timpview (Provo, UT)","6-2",175,84,NA,185,22,"UT","WR",2016,"utah","Commit",3
"Scott Peck","Central Valley (Spokane, WA)","6-6",296,82,NA,139,15,"WA","OT",2016,"utah","Commit",3
"Bradlee Anae","Kahuku (Kahuku, HI)","6-5",230,82,NA,78,13,"HI","SDE",2016,"utah","Commit",3
"Terrell Burgess","San Marcos (San Marcos, CA)","6-0",178,82,NA,147,168,"CA","CB",2016,"utah","Commit",3
"Semisi Lauaki","Leuzinger (Lawndale, CA)","6-4",240,81,NA,84,173,"CA","SDE",2016,"utah","Commit",1
"Mitch Wishnowsky","Santa Barbara City College (Santa Barbara, CA)","6-4",220,79,216,2,57,"CA","P",2016,"utah","Commit",2
"Zack Moss","Hallandale (Hallandale, FL)","5-10",205,78,NA,131,282,"FL","RB",2016,"utah","Commit",2
"Kiavhe Dennis-Lee","Oregon City (Oregon City, OR)","6-1",200,78,NA,159,14,"OR","OLB",2016,"utah","Commit",2
"Keaton Bills","Corner Canyon (Draper, UT)","6-5",270,86,NA,72,8,"UT","OT",2016,"utah","Commit",2
"Johnny Maea","East (Salt Lake City, UT)","6-4",280,85,NA,47,13,"UT","OG",2016,"utah","Commit",5
"Kurtis Taufa","Snow College (Ephraim, UT)","6-2",230,83,148,6,5,"UT","ILB",2016,"utah","Commit",2
"Devontae Henry-Cole","St. Thomas Aquinas (Fort Lauderdale, FL)","5-9",190,83,NA,96,201,"FL","RB",2016,"utah","Commit",2
"Luke Leonnig","Eagle (Eagle, ID)","6-0",220,79,NA,150,3,"ID","OLB",2016,"utah","Commit",2
"RJ Hubert","Moapa Valley (Overton, NV)","5-11",178,91,NA,50,1,"NV","WR",2016,"utah","Commit",1
"David Fangupo","Cerritos College (Norwalk, CA)","6-1",325,84,128,16,29,"CA","DT",2016,"utah","Commit",3
"Jaylon Johnson","Central East (Fresno, CA)","6-0.5",181,95,101,14,12,"CA","CB",2017,"utah","Commit",1
"Marquise Blair","Dodge City C.C. (Dodge City, KS)","6-3",190,94,3,1,1,"KS","OLB",2017,"utah","Commit",1
"Corrion Ballard","Blinn College (Brenham, TX)","6-2",200,92,7,1,3,"TX","S",2017,"utah","Commit",1
"Jordan Agasiva","Pima C.C. (Tucson, AZ)","6-5.5",290,88,25,4,4,"AZ","OT",2017,"utah","Commit",1
"Aliki Vimahi","Kahuku (Kahuku, HI)","6-3",244,87,NA,22,4,"HI","SDE",2017,"utah","Commit",2
"Bryan Thompson","Rancho Verde (Moreno Valley, CA)","6-3",190,87,NA,80,55,"CA","WR",2017,"utah","Commit",2
"Tyquez Hampton","El Dorado (El Paso, TX)","6-2",210,86,NA,89,93,"TX","WR",2017,"utah","Commit",4
"Michael Richardson","American Fork (American Fork, UT)","6-5",260,86,NA,69,12,"UT","SDE",2017,"utah","Commit",4
"Javelin Guidry","Vista Murrieta (Murrieta, CA)","5-9.5",180,86,NA,74,68,"CA","CB",2017,"utah","Commit",4
"Jason Shelley","Lone Star (Frisco, TX)","6-0",178,85,NA,16,118,"TX","DUAL",2017,"utah","Commit",3
"T.J. Green","Chandler (Chandler, AZ)","5-11",185,85,NA,22,14,"AZ","APB",2017,"utah","Commit",3
"Mo Unutoa","Kapaa (Kapaa, HI)","6-5",270,85,NA,98,7,"HI","OT",2017,"utah","Commit",3
"Jaylen Dixon","Lone Star (Frisco, TX)","5-10",160,84,NA,142,136,"TX","WR",2017,"utah","Commit",4
"Taniela Pututau","Cottonwood (Salt Lake City, UT)","6-2.5",203,84,NA,146,17,"UT","WR",2017,"utah","Commit",4
"John Penisini","Snow College (Ephraim, UT)","6-2",285,84,91,12,1,"UT","DT",2017,"utah","Commit",4
"Josh Nurse","Blinn College (Brenham, TX)","6-4",197,84,112,12,10,"TX","WR",2017,"utah","Commit",4
"Nick Ford","San Pedro (San Pedro, CA)","6-6",270,83,NA,121,115,"CA","OT",2017,"utah","Commit",3
"Bronson Boyd","The Oakridge School (Arlington, TX)","6-3",185,83,NA,187,172,"TX","WR",2017,"utah","Commit",3
"Derrick Vickers","Bakersfield College (Bakersfield, CA)","5-11",195,83,131,16,28,"CA","WR",2017,"utah","Commit",3
"Orlando Umana","Grant Union (Sacramento, CA)","6-5",311,82,NA,84,148,"CA","OG",2017,"utah","Commit",1
"Devin Lloyd","Otay Ranch (Chula Vista, CA)","6-4",215,79,NA,172,191,"CA","S",2017,"utah","Commit",1
"Nephi Sewell","Desert HIlls (St. George, UT)","5-10",183,73,NA,255,35,"UT","S",2017,"utah","Commit",1
